Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U530,C0018681,5,20,0,159,21,0,15,8,22,0,0,2,2,1,0,0,0,0.02,0.08,0,0.62,0.08,0,0.06,0.03,0.09,0,0,0.01,0.01,0.0,0,0,0
U734,C0013604,13,11,0,201,25,0,13,9,15,0,0,3,0,1,0,0,0,0.04,0.04,0,0.69,0.09,0,0.04,0.03,0.05,0,0,0.01,0,0.0,0,0,0
U642,C0000737,1,0,0,48,8,0,2,2,3,0,0,0,0,0,0,0,0,0.02,0,0,0.75,0.12,0,0.03,0.03,0.05,0,0,0,0,0,0,0,0
U451,C0020429,26,31,0,274,46,0,29,10,25,1,0,0,1,1,0,0,0,0.06,0.07,0,0.62,0.1,0,0.07,0.02,0.06,0.0,0,0,0.0,0.0,0,0,0
U54,C0020429,21,13,1,116,23,0,18,7,19,0,1,2,3,1,0,0,0,0.09,0.06,0.0,0.52,0.1,0,0.08,0.03,0.08,0,0.0,0.01,0.01,0.0,0,0,0
U207,C0010200,2,20,0,247,55,2,31,20,55,1,0,2,4,0,0,0,0,0.0,0.05,0,0.56,0.13,0.0,0.07,0.05,0.13,0.0,0,0.0,0.01,0,0,0,0
U146,C0020429,12,10,0,57,12,0,12,6,10,0,0,2,2,2,0,0,0,0.1,0.08,0,0.46,0.1,0,0.1,0.05,0.08,0,0,0.02,0.02,0.02,0,0,0
U87,C0013604,11,11,0,162,19,0,23,9,18,0,0,1,0,0,0,0,0,0.04,0.04,0,0.64,0.07,0,0.09,0.04,0.07,0,0,0.0,0,0,0,0,0
U637,C0020429,7,4,0,29,1,0,5,3,4,0,0,0,0,0,0,0,0,0.13,0.08,0,0.55,0.02,0,0.09,0.06,0.08,0,0,0,0,0,0,0,0
U961,C0013604,5,4,0,59,10,0,7,6,8,0,1,0,0,0,0,0,0,0.05,0.04,0,0.59,0.1,0,0.07,0.06,0.08,0,0.01,0,0,0,0,0,0
