node,type
GPBP1,gene
GPBP1L1,gene
GPC1,gene
GPC2,gene
GPC3,gene
GPC4,gene
GPC5,gene
GPC6,gene
GPCPD1,gene
GPD1,gene
GPD1L,gene
GPD2,gene
GPER1,gene
GPHA2,gene
GPHB5,gene
GPHN,gene
GPI,gene
GPIHBP1,gene
GPKOW,gene
GPLD1,gene
GPM6A,gene
GPM6B,gene
GPN1,gene
GPN2,gene
GPN3,gene
GPNMB,gene
GPR101,gene
GPR107,gene
GPR108,gene
GPR119,gene
GPR12,gene
GPR132,gene
GPR135,gene
GPR137,gene
GPR137B,gene
GPR137C,gene
GPR141,gene
GPR142,gene
GPR143,gene
GPR146,gene
GPR148,gene
GPR149,gene
GPR15,gene
GPR151,gene
GPR152,gene
GPR153,gene
GPR155,gene
GPR156,gene
GPR157,gene
GPR158,gene
GPR160,gene
GPR161,gene
GPR162,gene
GPR17,gene
GPR171,gene
GPR173,gene
GPR174,gene
GPR176,gene
GPR179,gene
GPR18,gene
GPR180,gene
GPR182,gene
GPR183,gene
GPR19,gene
GPR20,gene
GPR21,gene
GPR22,gene
GPR25,gene
GPR26,gene
GPR27,gene
GPR3,gene
GPR31,gene
GPR34,gene
GPR35,gene
GPR37,gene
GPR37L1,gene
GPR39,gene
GPR42,gene
GPR45,gene
GPR50,gene
GPR52,gene
GPR55,gene
GPR6,gene
GPR61,gene
GPR62,gene
GPR63,gene
GPR65,gene
GPR68,gene
GPR75,gene
GPR78,gene
GPR83,gene
GPR84,gene
GPR85,gene
GPR87,gene
GPR88,gene
GPR89A,gene
GPR89B,gene
GPRASP1,gene
GPRASP2,gene
GPRC5A,gene
GPRC5B,gene
GPRC5C,gene
GPRC5D,gene
GPRIN1,gene
GPRIN2,gene
GPRIN3,gene
GPS1,gene
GPS2,gene
GPSM1,gene
GPSM2,gene
GPSM3,gene
GPT,gene
GPT2,gene
GPX1,gene
GPX2,gene
GPX3,gene
GPX4,gene
GPX6,gene
GPX7,gene
GPX8,gene
GRAMD1A,gene
GRAMD1B,gene
GRAMD1C,gene
GRAMD2A,gene
GRAMD2B,gene
GRAMD4,gene
GRAP,gene
GRAP2,gene
GRAPL,gene
GRB10,gene
GRB14,gene
GRB2,gene
GRB7,gene
GREB1,gene
GREB1L,gene
GREM1,gene
GREM2,gene
GREP1,gene
GRHL1,gene
GRHL2,gene
GRHL3,gene
GRHPR,gene
GRIA1,gene
GRIA2,gene
GRIA3,gene
GRIA4,gene
GRID1,gene
GRID2,gene
GRID2IP,gene
GRIK1,gene
GRIK2,gene
GRIK3,gene
GRIK4,gene
GRIK5,gene
GRIN1,gene
GRIN2A,gene
GRIN2B,gene
GRIN2C,gene
GRIN2D,gene
GRIN3A,gene
GRIN3B,gene
GRINA,gene
GRIP1,gene
GRIP2,gene
GRIPAP1,gene
GRK1,gene
GRK2,gene
GRK3,gene
GRK4,gene
GRK5,gene
GRK6,gene
GRK7,gene
GRM1,gene
GRM2,gene
GRM3,gene
GRM4,gene
GRM5,gene
GRM6,gene
GRM7,gene
GRM8,gene
GRN,gene
GRP,gene
GRPEL1,gene
GRPEL2,gene
GRPR,gene
GRSF1,gene
GRTP1,gene
GRWD1,gene
GRXCR1,gene
GSAP,gene
GSC,gene
GSC2,gene
GSDMA,gene
GSDMB,gene
GSDMC,gene
GSDMD,gene
GSDME,gene
GSE1,gene
GSG1,gene
GSG1L,gene
GSK3A,gene
GSK3B,gene
GSKIP,gene
GSN,gene
GSPT1,gene
GSPT2,gene
GSR,gene
GSS,gene
GSTA1,gene
GSTA2,gene
GSTA3,gene
GSTA4,gene
GSTA5,gene
GSTCD,gene
GSTK1,gene
GSTM1,gene
GSTM2,gene
GSTM3,gene
GSTM4,gene
GSTM5,gene
GSTO1,gene
GSTO2,gene
GSTP1,gene
GSTT2,gene
GSTT2B,gene
GSTT4,gene
GSTZ1,gene
GSX1,gene
GSX2,gene
GTDC1,gene
GTF2A1,gene
GTF2A1L,gene
GTF2A2,gene
GTF2B,gene
GTF2E1,gene
GTF2E2,gene
GTF2F1,gene
GTF2F2,gene
GTF2H1,gene
GTF2H2,gene
GTF2H2C,gene
GTF2H3,gene
GTF2H4,gene
GTF2H5,gene
GTF2I,gene
GTF2IRD1,gene
GTF2IRD2,gene
GTF2IRD2B,gene
GTF3A,gene
GTF3C1,gene
GTF3C2,gene
GTF3C3,gene
GTF3C4,gene
GTF3C5,gene
GTF3C6,gene
GTPBP1,gene
GTPBP10,gene
GTPBP2,gene
GTPBP3,gene
GTPBP4,gene
GTPBP6,gene
GTPBP8,gene
GTSE1,gene
GTSF1,gene
GTSF1L,gene
GUCA1A,gene
GUCA1B,gene
GUCA1C,gene
GUCA2A,gene
GUCA2B,gene
GUCD1,gene
GUCY1A1,gene
GUCY1A2,gene
GUCY1B1,gene
GUCY2C,gene
GUCY2D,gene
GUCY2F,gene
GUF1,gene
GUK1,gene
GULP1,gene
GUSB,gene
GXYLT1,gene
GXYLT2,gene
GYG1,gene
GYG2,gene
GYPA,gene
GYPB,gene
GYPC,gene
GYPE,gene
GYS1,gene
GYS2,gene
GZF1,gene
GZMA,gene
GZMB,gene
GZMH,gene
GZMK,gene
GZMM,gene
H1-0,gene
H1-1,gene
H1-10,gene
H1-2,gene
H1-3,gene
H1-4,gene
H1-5,gene
H1-6,gene
H1-7,gene
H1-8,gene
H2AB1,gene
H2AB2,gene
H2AB3,gene
H2AC1,gene
H2AC11,gene
H2AC12,gene
H2AC13,gene
H2AC14,gene
H2AC15,gene
H2AC16,gene
H2AC17,gene
H2AC18,gene
H2AC19,gene
H2AC20,gene
H2AC21,gene
H2AC4,gene
H2AC6,gene
H2AC7,gene
H2AC8,gene
H2AJ,gene
H2AL3,gene
H2AP,gene
H2AW,gene
H2AX,gene
H2AZ1,gene
H2AZ2,gene
H2BC1,gene
H2BC10,gene
H2BC11,gene
H2BC12,gene
H2BC12L,gene
H2BC13,gene
H2BC14,gene
H2BC15,gene
H2BC17,gene
H2BC18,gene
H2BC21,gene
H2BC3,gene
H2BC4,gene
H2BC5,gene
H2BC6,gene
H2BC7,gene
H2BC8,gene
H2BC9,gene
H2BU1,gene
H2BW1,gene
H2BW2,gene
H3-3A,gene
H3-3B,gene
H3-4,gene
H3-5,gene
H3-7,gene
H3C1,gene
H3C10,gene
H3C11,gene
H3C12,gene
H3C13,gene
H3C14,gene
H3C15,gene
H3C2,gene
H3C3,gene
H3C4,gene
H3C6,gene
H3C7,gene
H3C8,gene
H4-16,gene
H4C1,gene
H4C11,gene
H4C12,gene
H4C13,gene
H4C14,gene
H4C15,gene
H4C2,gene
H4C3,gene
H4C4,gene
H4C5,gene
H4C6,gene
H4C7,gene
H4C8,gene
H4C9,gene
H6PD,gene
HAAO,gene
HABP2,gene
HABP4,gene
HACD1,gene
HACD2,gene
HACD3,gene
HACD4,gene
HACE1,gene
HACL1,gene
HADH,gene
HADHA,gene
HADHB,gene
HAGH,gene
HAGHL,gene
HAL,gene
HAMP,gene
HAND1,gene
HAND2,gene
HAO1,gene
HAO2,gene
HAP1,gene
HAPLN1,gene
HAPLN2,gene
HAPLN3,gene
HARBI1,gene
HARS1,gene
HARS2,gene
HAS1,gene
HAS2,gene
HAS3,gene
HASPIN,gene
HAT1,gene
HAUS1,gene
HAUS2,gene
HAUS3,gene
HAUS4,gene
HAUS5,gene
HAUS6,gene
HAUS7,gene
HAUS8,gene
HAVCR1,gene
HAVCR2,gene
HAX1,gene
HBA1,gene
HBA2,gene
HBB,gene
HBD,gene
HBE1,gene
HBEGF,gene
HBG1,gene
HBG2,gene
HBM,gene
HBP1,gene
HBQ1,gene
HBS1L,gene
HBZ,gene
HCAR1,gene
HCAR2,gene
HCCS,gene
HCFC1,gene
HCFC1R1,gene
HCFC2,gene
HCK,gene
HCLS1,gene
HCN1,gene
HCN2,gene
HCN3,gene
HCN4,gene
HCRT,gene
HCRTR1,gene
HCRTR2,gene
HCST,gene
HDAC1,gene
HDAC10,gene
HDAC11,gene
HDAC2,gene
HDAC3,gene
HDAC4,gene
HDAC5,gene
HDAC6,gene
HDAC7,gene
HDAC8,gene
HDAC9,gene
HDC,gene
HDDC2,gene
HDDC3,gene
HDGF,gene
HDGFL1,gene
HDGFL2,gene
HDGFL3,gene
HDHD2,gene
HDHD3,gene
HDHD5,gene
HDLBP,gene
HDX,gene
HEATR1,gene
HEATR3,gene
HEATR4,gene
HEATR5A,gene
HEATR5B,gene
HEATR6,gene
HEATR9,gene
HEBP1,gene
HEBP2,gene
HECA,gene
HECTD1,gene
HECTD2,gene
HECTD3,gene
HECTD4,gene
HECW1,gene
HECW2,gene
HEG1,gene
HELB,gene
HELLS,gene
HELQ,gene
HELT,gene
HELZ,gene
HELZ2,gene
HEMGN,gene
HEMK1,gene
HENMT1,gene
HEPACAM,gene
HEPACAM2,gene
HEPH,gene
HEPHL1,gene
HEPN1,gene
HERC1,gene
HERC2,gene
HERC3,gene
HERC4,gene
HERC5,gene
HERC6,gene
HERPUD1,gene
HERPUD2,gene
HES1,gene
HES2,gene
HES3,gene
HES4,gene
HES5,gene
HES6,gene
HES7,gene
HESX1,gene
HEXA,gene
HEXB,gene
HEXD,gene
HEXIM1,gene
HEXIM2,gene
HEY1,gene
HEY2,gene
HEYL,gene
HFE,gene
HFM1,gene
HGD,gene
HGF,gene
HGFAC,gene
HGH1,gene
HGS,gene
HGSNAT,gene
HHAT,gene
HHATL,gene
HHEX,gene
HHIP,gene
HHIPL1,gene
HHIPL2,gene
HHLA2,gene
HIBADH,gene
HIBCH,gene
HIC1,gene
HIC2,gene
HID1,gene
HIF1A,gene
HIF1AN,gene
HIF3A,gene
HIGD1A,gene
HIGD1B,gene
HIGD1C,gene
HIGD2A,gene
HIGD2B,gene
HIKESHI,gene
HILPDA,gene
HINFP,gene
HINT1,gene
HINT2,gene
HINT3,gene
HIP1,gene
HIP1R,gene
HIPK1,gene
HIPK2,gene
HIPK3,gene
HIPK4,gene
HIRA,gene
HIRIP3,gene
HIVEP1,gene
HIVEP2,gene
HIVEP3,gene
HJURP,gene
HJV,gene
HK1,gene
HK2,gene
HK3,gene
HKDC1,gene
HLA-A,gene
HLA-B,gene
HLA-C,gene
HLA-DMA,gene
HLA-DMB,gene
HLA-DOA,gene
HLA-DOB,gene
HLA-DPA1,gene
HLA-DPB1,gene
HLA-DQA1,gene
HLA-DQA2,gene
HLA-DQB1,gene
HLA-DQB2,gene
HLA-DRA,gene
HLA-DRB1,gene
HLA-DRB5,gene
HLA-E,gene
HLA-F,gene
HLA-G,gene
HLCS,gene
HLF,gene
HLTF,gene
HLX,gene
HM13,gene
HMBOX1,gene
HMBS,gene
HMCES,gene
HMCN1,gene
HMCN2,gene
HMG20A,gene
HMG20B,gene
HMGA1,gene
HMGA2,gene
HMGB1,gene
HMGB2,gene
HMGB3,gene
HMGB4,gene
HMGCL,gene
HMGCLL1,gene
HMGCR,gene
HMGCS1,gene
HMGCS2,gene
HMGN1,gene
HMGN2,gene
HMGN3,gene
HMGN4,gene
HMGN5,gene
HMGXB3,gene
HMGXB4,gene
HMHB1,gene
HMMR,gene
HMOX1,gene
HMOX2,gene
HMX1,gene
HMX2,gene
HMX3,gene
HNF1A,gene
HNF1B,gene
HNF4A,gene
HNF4G,gene
HNMT,gene
HNRNPA0,gene
HNRNPA1,gene
HNRNPA1L2,gene
HNRNPA1L3,gene
HNRNPA2B1,gene
HNRNPA3,gene
HNRNPAB,gene
HNRNPC,gene
HNRNPCL1,gene
HNRNPCL2,gene
HNRNPCL3,gene
HNRNPCL4,gene
HNRNPD,gene
HNRNPDL,gene
HNRNPF,gene
HNRNPH1,gene
HNRNPH2,gene
HNRNPH3,gene
HNRNPK,gene
HNRNPL,gene
HNRNPLL,gene
HNRNPM,gene
HNRNPR,gene
HNRNPU,gene
HNRNPUL1,gene
HNRNPUL2,gene
HOATZ,gene
HOGA1,gene
HOMER1,gene
HOMER2,gene
HOMER3,gene
HOMEZ,gene
HOOK1,gene
HOOK2,gene
HOOK3,gene
HOPX,gene
HORMAD1,gene
HORMAD2,gene
HOXA1,gene
HOXA10,gene
HOXA11,gene
HOXA13,gene
HOXA2,gene
HOXA3,gene
HOXA4,gene
HOXA5,gene
HOXA6,gene
HOXA7,gene
HOXA9,gene
HOXB1,gene
HOXB13,gene
HOXB2,gene
HOXB3,gene
HOXB4,gene
HOXB5,gene
HOXB6,gene
HOXB7,gene
HOXB8,gene
HOXB9,gene
HOXC10,gene
HOXC11,gene
HOXC12,gene
HOXC13,gene
HOXC4,gene
HOXC5,gene
HOXC6,gene
HOXC8,gene
HOXC9,gene
HOXD1,gene
HOXD10,gene
HOXD11,gene
HOXD12,gene
HOXD13,gene
HOXD3,gene
HOXD4,gene
HOXD8,gene
HOXD9,gene
HP,gene
HP1BP3,gene
HPCA,gene
HPCAL1,gene
HPCAL4,gene
HPD,gene
HPDL,gene
HPF1,gene
HPGD,gene
HPGDS,gene
HPN,gene
HPR,gene
HPRT1,gene
HPS1,gene
HPS3,gene
HPS4,gene
HPS5,gene
HPS6,gene
HPSE,gene
HPSE2,gene
HPX,gene
HR,gene
HRAS,gene
HRC,gene
HRCT1,gene
HRG,gene
HRH1,gene
HRH2,gene
HRH3,gene
HRH4,gene
HRK,gene
HRNR,gene
HROB,gene
HS1BP3,gene
HS2ST1,gene
HS3ST1,gene
HS3ST2,gene
HS3ST3A1,gene
HS3ST3B1,gene
HS3ST4,gene
HS3ST5,gene
HS6ST1,gene
HS6ST2,gene
HS6ST3,gene
HSBP1,gene
HSBP1L1,gene
HSCB,gene
HSD11B1,gene
HSD11B1L,gene
HSD11B2,gene
HSD17B1,gene
HSD17B10,gene
HSD17B11,gene
HSD17B12,gene
HSD17B13,gene
HSD17B14,gene
HSD17B2,gene
HSD17B3,gene
HSD17B4,gene
HSD17B6,gene
HSD17B7,gene
HSD17B8,gene
HSD3B1,gene
HSD3B2,gene
HSD3B7,gene
HSDL1,gene
HSDL2,gene
HSF1,gene
HSF2,gene
HSF2BP,gene
HSF4,gene
HSF5,gene
HSFX1,gene
HSFX2,gene
HSFX4,gene
HSFY1,gene
HSFY2,gene
HSH2D,gene
HSP90AA1,gene
HSP90AB1,gene
HSP90B1,gene
HSPA12A,gene
HSPA12B,gene
HSPA13,gene
HSPA14,gene
HSPA1A,gene
HSPA1B,gene
HSPA1L,gene
HSPA2,gene
HSPA4,gene
HSPA4L,gene
HSPA5,gene
HSPA6,gene
HSPA8,gene
HSPA9,gene
HSPB1,gene
HSPB11,gene
HSPB2,gene
HSPB3,gene
HSPB6,gene
HSPB7,gene
HSPB8,gene
HSPB9,gene
HSPBAP1,gene
HSPBP1,gene
HSPD1,gene
HSPE1,gene
HSPG2,gene
HSPH1,gene
HTATIP2,gene
HTATSF1,gene
HTN1,gene
HTN3,gene
HTR1A,gene
HTR1B,gene
HTR1D,gene
HTR1E,gene
HTR1F,gene
HTR2A,gene
HTR2B,gene
HTR2C,gene
HTR3A,gene
HTR3B,gene
HTR3C,gene
HTR3D,gene
HTR3E,gene
HTR4,gene
HTR5A,gene
HTR6,gene
HTR7,gene
HTRA1,gene
HTRA2,gene
HTRA3,gene
HTRA4,gene
HTT,gene
HUNK,gene
HUS1,gene
HUS1B,gene
HUWE1,gene
HVCN1,gene
HYAL1,gene
HYAL2,gene
HYAL3,gene
HYAL4,gene
HYDIN,gene
HYI,gene
HYKK,gene
HYLS1,gene
HYOU1,gene
HYPK,gene
IAH1,gene
IAPP,gene
IARS1,gene
IARS2,gene
IBA57,gene
IBSP,gene
IBTK,gene
ICA1,gene
ICA1L,gene
ICAM1,gene
ICAM2,gene
ICAM3,gene
ICAM4,gene
ICAM5,gene
ICE1,gene
ICE2,gene
ICMT,gene
ICOS,gene
ICOSLG,gene
ID1,gene
ID2,gene
ID3,gene
ID4,gene
IDE,gene
IDH1,gene
IDH2,gene
IDH3A,gene
IDH3B,gene
IDH3G,gene
IDI1,gene
IDI2,gene
IDNK,gene
IDO1,gene
IDO2,gene
IDS,gene
IDUA,gene
IER2,gene
IER3,gene
IER3IP1,gene
IER5,gene
IER5L,gene
IFFO1,gene
IFFO2,gene
IFI16,gene
IFI27,gene
IFI27L1,gene
IFI27L2,gene
IFI30,gene
IFI35,gene
IFI44,gene
IFI44L,gene
IFI6,gene
IFIH1,gene
IFIT1,gene
IFIT1B,gene
IFIT2,gene
IFIT3,gene
IFIT5,gene
IFITM1,gene
IFITM2,gene
IFITM3,gene
IFITM5,gene
IFNA1,gene
IFNA10,gene
IFNA13,gene
IFNA14,gene
IFNA16,gene
IFNA17,gene
IFNA2,gene
IFNA21,gene
IFNA4,gene
IFNA5,gene
IFNA6,gene
IFNA7,gene
IFNA8,gene
IFNAR1,gene
IFNAR2,gene
IFNB1,gene
IFNE,gene
IFNG,gene
IFNGR1,gene
IFNGR2,gene
IFNK,gene
IFNL1,gene
IFNL2,gene
IFNL3,gene
IFNLR1,gene
IFNW1,gene
IFRD1,gene
IFRD2,gene
IFT122,gene
IFT140,gene
IFT172,gene
IFT20,gene
IFT22,gene
IFT27,gene
IFT43,gene
IFT46,gene
IFT52,gene
IFT57,gene
IFT74,gene
IFT80,gene
IFT81,gene
IFT88,gene
IFTAP,gene
IGBP1,gene
IGDCC3,gene
IGDCC4,gene
IGF1,gene
IGF1R,gene
IGF2,gene
IGF2BP1,gene
IGF2BP2,gene
IGF2BP3,gene
IGF2R,gene
IGFALS,gene
IGFBP1,gene
IGFBP2,gene
IGFBP3,gene
IGFBP4,gene
IGFBP5,gene
IGFBP6,gene
IGFBP7,gene
IGFBPL1,gene
IGFL1,gene
IGFL2,gene
IGFL3,gene
IGFL4,gene
IGFLR1,gene
IGFN1,gene
IGH,gene
IGHMBP2,gene
IGIP,gene
IGK,gene
IGL,gene
IGLL1,gene
IGLL5,gene
IGLON5,gene
IGSF1,gene
IGSF10,gene
IGSF11,gene
IGSF21,gene
IGSF3,gene
IGSF5,gene
IGSF6,gene
IGSF8,gene
IGSF9,gene
IGSF9B,gene
IHH,gene
IHO1,gene
IK,gene
IKBIP,gene
IKBKB,gene
IKBKE,gene
IKBKG,gene
IKZF1,gene
IKZF2,gene
IKZF3,gene
IKZF4,gene
IKZF5,gene
IL10,gene
IL10RA,gene
IL10RB,gene
IL11,gene
IL11RA,gene
IL12A,gene
IL12B,gene
IL12RB1,gene
IL12RB2,gene
IL13,gene
IL13RA1,gene
IL13RA2,gene
IL15,gene
IL15RA,gene
IL16,gene
IL17A,gene
IL17B,gene
IL17C,gene
IL17D,gene
IL17F,gene
IL17RA,gene
IL17RB,gene
IL17RC,gene
IL17RD,gene
IL17RE,gene
IL17REL,gene
IL18,gene
IL18BP,gene
IL18R1,gene
IL18RAP,gene
IL19,gene
IL1A,gene
IL1B,gene
IL1F10,gene
IL1R1,gene
IL1R2,gene
IL1RAP,gene
IL1RAPL1,gene
IL1RAPL2,gene
IL1RL1,gene
IL1RL2,gene
IL1RN,gene
IL2,gene
IL20,gene
IL20RA,gene
IL20RB,gene
IL21,gene
IL21R,gene
IL22,gene
IL22RA1,gene
IL22RA2,gene
IL23A,gene
IL23R,gene
IL24,gene
IL25,gene
IL26,gene
IL27,gene
IL27RA,gene
IL2RA,gene
IL2RB,gene
IL2RG,gene
IL3,gene
IL31,gene
IL31RA,gene
IL32,gene
IL33,gene
IL34,gene
IL36A,gene
IL36B,gene
IL36G,gene
IL36RN,gene
IL37,gene
IL3RA,gene
IL4,gene
IL4I1,gene
IL4R,gene
IL5,gene
IL5RA,gene
IL6,gene
IL6R,gene
IL6ST,gene
IL7,gene
IL7R,gene
IL9,gene
IL9R,gene
ILDR1,gene
ILDR2,gene
ILF2,gene
ILF3,gene
ILK,gene
ILKAP,gene
ILRUN,gene
ILVBL,gene
IMMP1L,gene
IMMP2L,gene
IMMT,gene
IMP3,gene
IMP4,gene
IMPA1,gene
IMPA2,gene
IMPACT,gene
IMPDH1,gene
IMPDH2,gene
IMPG1,gene
IMPG2,gene
INA,gene
INAFM2,gene
INAVA,gene
INCA1,gene
INCENP,gene
INF2,gene
ING1,gene
ING2,gene
ING3,gene
ING4,gene
ING5,gene
INHA,gene
INHBA,gene
INHBB,gene
INHBE,gene
INIP,gene
INKA1,gene
INKA2,gene
INMT,gene
INO80,gene
INO80B,gene
INO80C,gene
INO80D,gene
INO80E,gene
INPP1,gene
INPP4A,gene
INPP4B,gene
INPP5A,gene
INPP5B,gene
INPP5D,gene
INPP5E,gene
INPP5F,gene
INPP5J,gene
INPP5K,gene
INPPL1,gene
INS,gene
INSC,gene
INSIG1,gene
INSIG2,gene
INSL3,gene
INSL4,gene
INSL5,gene
INSL6,gene
INSM1,gene
INSM2,gene
INSR,gene
INSRR,gene
INSYN1,gene
INSYN2A,gene
INSYN2B,gene
INTS1,gene
INTS10,gene
INTS11,gene
INTS12,gene
INTS13,gene
INTS14,gene
INTS15,gene
INTS2,gene
INTS3,gene
INTS4,gene
INTS5,gene
INTS6,gene
INTS6L,gene
INTS7,gene
INTS8,gene
INTS9,gene
INTU,gene
INVS,gene
IP6K1,gene
IP6K2,gene
IP6K3,gene
IPCEF1,gene
IPMK,gene
IPO11,gene
IPO13,gene
IPO4,gene
IPO5,gene
IPO7,gene
IPO8,gene
IPO9,gene
IPP,gene
IPPK,gene
IQANK1,gene
IQCA1,gene
IQCA1L,gene
IQCB1,gene
IQCC,gene
IQCD,gene
IQCE,gene
IQCF1,gene
IQCF2,gene
IQCF3,gene
IQCF5,gene
IQCG,gene
IQCH,gene
IQCJ,gene
IQCK,gene
IQCN,gene
IQGAP1,gene
IQGAP2,gene
IQGAP3,gene
IQSEC1,gene
IQSEC2,gene
IQSEC3,gene
IQUB,gene
IRAG1,gene
IRAG2,gene
IRAK1,gene
IRAK1BP1,gene
IRAK2,gene
IRAK3,gene
IRAK4,gene
IREB2,gene
IRF1,gene
IRF2,gene
IRF2BP1,gene
IRF2BP2,gene
IRF2BPL,gene
IRF3,gene
IRF4,gene
IRF5,gene
IRF6,gene
IRF7,gene
IRF8,gene
IRF9,gene
IRGC,gene
IRGM,gene
IRGQ,gene
IRS1,gene
IRS2,gene
IRS4,gene
IRX1,gene
IRX2,gene
IRX3,gene
IRX4,gene
IRX5,gene
IRX6,gene
ISCA1,gene
ISCA2,gene
ISCU,gene
ISG15,gene
ISG20,gene
ISG20L2,gene
ISL1,gene
ISL2,gene
ISLR,gene
ISLR2,gene
ISM1,gene
ISM2,gene
ISOC1,gene
ISOC2,gene
IST1,gene
ISX,gene
ISY1,gene
ISYNA1,gene
ITCH,gene
ITFG1,gene
ITFG2,gene
ITGA1,gene
ITGA10,gene
ITGA11,gene
ITGA2,gene
ITGA2B,gene
ITGA3,gene
ITGA4,gene
ITGA5,gene
ITGA6,gene
ITGA7,gene
ITGA8,gene
ITGA9,gene
ITGAD,gene
ITGAE,gene
ITGAL,gene
ITGAM,gene
ITGAV,gene
ITGAX,gene
ITGB1,gene
ITGB1BP1,gene
ITGB1BP2,gene
ITGB2,gene
ITGB3,gene
ITGB3BP,gene
ITGB4,gene
ITGB5,gene
ITGB6,gene
ITGB7,gene
ITGB8,gene
ITGBL1,gene
ITIH1,gene
ITIH2,gene
ITIH3,gene
ITIH4,gene
ITIH5,gene
ITIH6,gene
ITK,gene
ITLN1,gene
ITLN2,gene
ITM2A,gene
ITM2B,gene
ITM2C,gene
ITPA,gene
ITPK1,gene
ITPKA,gene
ITPKB,gene
ITPKC,gene
ITPR1,gene
ITPR2,gene
ITPR3,gene
ITPRID2,gene
ITPRIP,gene
ITPRIPL1,gene
ITPRIPL2,gene
ITSN1,gene
ITSN2,gene
IVD,gene
IVL,gene
IVNS1ABP,gene
IWS1,gene
IYD,gene
IZUMO1,gene
IZUMO1R,gene
IZUMO2,gene
IZUMO4,gene
JADE1,gene
JADE2,gene
JADE3,gene
JAG1,gene
JAG2,gene
JAGN1,gene
JAK1,gene
JAK2,gene
JAK3,gene
JAKMIP1,gene
JAKMIP2,gene
JAM2,gene
JAM3,gene
JAML,gene
JARID2,gene
JAZF1,gene
JCAD,gene
JCHAIN,gene
JDP2,gene
JHY,gene
JKAMP,gene
JMJD1C,gene
JMJD4,gene
JMJD6,gene
JMJD7,gene
JMJD8,gene
JMY,gene
JOSD1,gene
JOSD2,gene
JPH1,gene
JPH2,gene
JPH3,gene
JPH4,gene
JPT1,gene
JPT2,gene
JRK,gene
JRKL,gene
JSRP1,gene
JTB,gene
JUN,gene
JUNB,gene
JUND,gene
JUP,gene
KALRN,gene
KANK1,gene
KANK2,gene
KANK3,gene
KANK4,gene
KANSL1,gene
KANSL1L,gene
KANSL2,gene
KANSL3,gene
KARS1,gene
KASH5,gene
KAT14,gene
KAT2A,gene
KAT2B,gene
KAT5,gene
KAT6A,gene
KAT6B,gene
KAT7,gene
KAT8,gene
KATNA1,gene
KATNAL1,gene
KATNAL2,gene
KATNB1,gene
KATNBL1,gene
KATNIP,gene
KAZALD1,gene
KAZN,gene
KBTBD11,gene
KBTBD12,gene
KBTBD13,gene
KBTBD2,gene
KBTBD3,gene
KBTBD4,gene
KBTBD6,gene
KBTBD7,gene
KBTBD8,gene
KCMF1,gene
KCNA1,gene
KCNA10,gene
KCNA2,gene
KCNA3,gene
KCNA4,gene
KCNA5,gene
KCNA6,gene
KCNA7,gene
KCNAB1,gene
KCNAB2,gene
KCNAB3,gene
KCNB1,gene
KCNB2,gene
KCNC1,gene
KCNC2,gene
KCNC3,gene
KCNC4,gene
KCND1,gene
KCND2,gene
KCND3,gene
KCNE1,gene
KCNE2,gene
KCNE3,gene
KCNE4,gene
KCNE5,gene
KCNF1,gene
KCNG1,gene
KCNG2,gene
KCNG3,gene
KCNG4,gene
KCNH1,gene
KCNH2,gene
KCNH3,gene
KCNH4,gene
KCNH5,gene
KCNH6,gene
KCNH7,gene
KCNH8,gene
KCNIP1,gene
KCNIP2,gene
KCNIP3,gene
KCNIP4,gene
KCNJ1,gene
KCNJ10,gene
KCNJ11,gene
KCNJ12,gene
KCNJ13,gene
KCNJ14,gene
KCNJ15,gene
KCNJ16,gene
KCNJ18,gene
KCNJ2,gene
KCNJ3,gene
KCNJ4,gene
KCNJ5,gene
KCNJ6,gene
KCNJ8,gene
KCNJ9,gene
KCNK1,gene
KCNK10,gene
KCNK12,gene
KCNK13,gene
KCNK15,gene
KCNK16,gene
KCNK17,gene
KCNK18,gene
KCNK2,gene
KCNK3,gene
KCNK4,gene
KCNK5,gene
KCNK6,gene
KCNK9,gene
KCNMA1,gene
KCNMB1,gene
KCNMB2,gene
KCNMB3,gene
KCNMB4,gene
KCNN1,gene
KCNN2,gene
KCNN3,gene
KCNN4,gene
KCNQ1,gene
KCNQ2,gene
KCNQ3,gene
KCNQ4,gene
KCNQ5,gene
KCNRG,gene
KCNS1,gene
KCNS2,gene
KCNS3,gene
KCNT1,gene
KCNT2,gene
KCNU1,gene
KCNV1,gene
KCNV2,gene
KCP,gene
KCTD1,gene
KCTD10,gene
KCTD11,gene
KCTD12,gene
KCTD13,gene
KCTD14,gene
KCTD15,gene
KCTD16,gene
KCTD17,gene
KCTD18,gene
KCTD19,gene
KCTD2,gene
KCTD20,gene
KCTD21,gene
KCTD3,gene
KCTD4,gene
KCTD5,gene
KCTD6,gene
KCTD7,gene
KCTD8,gene
KCTD9,gene
KDELR1,gene
KDELR2,gene
KDELR3,gene
KDF1,gene
KDM1A,gene
KDM1B,gene
KDM2A,gene
KDM2B,gene
KDM3A,gene
KDM3B,gene
KDM4A,gene
KDM4B,gene
KDM4C,gene
KDM4D,gene
KDM5A,gene
KDM5B,gene
KDM5C,gene
KDM5D,gene
KDM6A,gene
KDM6B,gene
KDM7A,gene
KDM8,gene
KDR,gene
KDSR,gene
KEAP1,gene
KEL,gene
KERA,gene
KHDC1,gene
