node,type
AMIGO2,gene
AMIGO3,gene
AMMECR1,gene
AMMECR1L,gene
AMN,gene
AMN1,gene
AMOT,gene
AMOTL1,gene
AMOTL2,gene
AMPD1,gene
AMPD2,gene
AMPD3,gene
AMPH,gene
AMT,gene
AMTN,gene
AMY1A,gene
AMY1B,gene
AMY1C,gene
AMY2A,gene
AMY2B,gene
AMZ1,gene
AMZ2,gene
ANAPC1,gene
ANAPC10,gene
ANAPC11,gene
ANAPC13,gene
ANAPC15,gene
ANAPC16,gene
ANAPC2,gene
ANAPC4,gene
ANAPC5,gene
ANAPC7,gene
ANG,gene
ANGEL1,gene
ANGEL2,gene
ANGPT1,gene
ANGPT2,gene
ANGPT4,gene
ANGPTL1,gene
ANGPTL2,gene
ANGPTL3,gene
ANGPTL4,gene
ANGPTL5,gene
ANGPTL6,gene
ANGPTL7,gene
ANGPTL8,gene
ANHX,gene
ANK1,gene
ANK2,gene
ANK3,gene
ANKAR,gene
ANKDD1A,gene
ANKDD1B,gene
ANKEF1,gene
ANKFN1,gene
ANKFY1,gene
ANKH,gene
ANKHD1,gene
ANKIB1,gene
ANKK1,gene
ANKLE1,gene
ANKLE2,gene
ANKMY1,gene
ANKMY2,gene
ANKRA2,gene
ANKRD1,gene
ANKRD10,gene
ANKRD11,gene
ANKRD12,gene
ANKRD13A,gene
ANKRD13B,gene
ANKRD13C,gene
ANKRD13D,gene
ANKRD16,gene
ANKRD17,gene
ANKRD18A,gene
ANKRD18B,gene
ANKRD2,gene
ANKRD20A1,gene
ANKRD22,gene
ANKRD23,gene
ANKRD24,gene
ANKRD26,gene
ANKRD27,gene
ANKRD28,gene
ANKRD29,gene
ANKRD30A,gene
ANKRD30B,gene
ANKRD30BL,gene
ANKRD31,gene
ANKRD33,gene
ANKRD33B,gene
ANKRD34A,gene
ANKRD34B,gene
ANKRD34C,gene
ANKRD35,gene
ANKRD36,gene
ANKRD36B,gene
ANKRD36C,gene
ANKRD37,gene
ANKRD39,gene
ANKRD40,gene
ANKRD42,gene
ANKRD44,gene
ANKRD45,gene
ANKRD46,gene
ANKRD49,gene
ANKRD50,gene
ANKRD52,gene
ANKRD53,gene
ANKRD54,gene
ANKRD55,gene
ANKRD6,gene
ANKRD62,gene
ANKRD63,gene
ANKRD65,gene
ANKRD66,gene
ANKRD7,gene
ANKRD9,gene
ANKS1A,gene
ANKS1B,gene
ANKS3,gene
ANKS4B,gene
ANKS6,gene
ANKUB1,gene
ANKZF1,gene
ANLN,gene
ANO1,gene
ANO10,gene
ANO2,gene
ANO3,gene
ANO4,gene
ANO5,gene
ANO6,gene
ANO7,gene
ANO8,gene
ANO9,gene
ANOS1,gene
ANP32A,gene
ANP32B,gene
ANP32D,gene
ANP32E,gene
ANPEP,gene
ANTKMT,gene
ANTXR1,gene
ANTXR2,gene
ANXA1,gene
ANXA10,gene
ANXA11,gene
ANXA13,gene
ANXA2,gene
ANXA2R,gene
ANXA3,gene
ANXA4,gene
ANXA5,gene
ANXA6,gene
ANXA7,gene
ANXA8,gene
ANXA8L1,gene
ANXA9,gene
AOAH,gene
AOC1,gene
AOC2,gene
AOC3,gene
AOPEP,gene
AOX1,gene
AP1AR,gene
AP1B1,gene
AP1G1,gene
AP1G2,gene
AP1M1,gene
AP1M2,gene
AP1S1,gene
AP1S2,gene
AP1S3,gene
AP2A1,gene
AP2A2,gene
AP2B1,gene
AP2M1,gene
AP2S1,gene
AP3B1,gene
AP3B2,gene
AP3D1,gene
AP3M1,gene
AP3M2,gene
AP3S1,gene
AP3S2,gene
AP4B1,gene
AP4E1,gene
AP4M1,gene
AP4S1,gene
AP5B1,gene
AP5M1,gene
AP5S1,gene
AP5Z1,gene
APAF1,gene
APBA1,gene
APBA2,gene
APBA3,gene
APBB1,gene
APBB1IP,gene
APBB2,gene
APBB3,gene
APC,gene
APC2,gene
APCDD1,gene
APCDD1L,gene
APCS,gene
APEH,gene
APELA,gene
APEX1,gene
APEX2,gene
APH1A,gene
APH1B,gene
API5,gene
APIP,gene
APLF,gene
APLN,gene
APLNR,gene
APLP1,gene
APLP2,gene
APMAP,gene
APOA1,gene
APOA2,gene
APOA4,gene
APOA5,gene
APOB,gene
APOBEC1,gene
APOBEC2,gene
APOBEC3A,gene
APOBEC3B,gene
APOBEC3C,gene
APOBEC3D,gene
APOBEC3F,gene
APOBEC3G,gene
APOBEC3H,gene
APOBEC4,gene
APOBR,gene
APOC1,gene
APOC2,gene
APOC3,gene
APOC4,gene
APOD,gene
APOE,gene
APOF,gene
APOH,gene
APOL1,gene
APOL2,gene
APOL3,gene
APOL4,gene
APOL5,gene
APOL6,gene
APOLD1,gene
APOM,gene
APOO,gene
APOOL,gene
APP,gene
APPBP2,gene
APPL1,gene
APPL2,gene
APRT,gene
APTX,gene
AQP1,gene
AQP10,gene
AQP11,gene
AQP12B,gene
AQP2,gene
AQP3,gene
AQP4,gene
AQP5,gene
AQP6,gene
AQP7,gene
AQP8,gene
AQP9,gene
AQR,gene
AR,gene
ARAF,gene
ARAP1,gene
ARAP2,gene
ARAP3,gene
ARC,gene
ARCN1,gene
AREG,gene
AREL1,gene
ARF1,gene
ARF3,gene
ARF4,gene
ARF5,gene
ARF6,gene
ARFGAP1,gene
ARFGAP2,gene
ARFGAP3,gene
ARFGEF1,gene
ARFGEF2,gene
ARFGEF3,gene
ARFIP1,gene
ARFIP2,gene
ARFRP1,gene
ARG1,gene
ARG2,gene
ARGFX,gene
ARGLU1,gene
ARHGAP1,gene
ARHGAP10,gene
ARHGAP11A,gene
ARHGAP11B,gene
ARHGAP12,gene
ARHGAP15,gene
ARHGAP17,gene
ARHGAP18,gene
ARHGAP19,gene
ARHGAP20,gene
ARHGAP21,gene
ARHGAP22,gene
ARHGAP23,gene
ARHGAP24,gene
ARHGAP25,gene
ARHGAP26,gene
ARHGAP27,gene
ARHGAP28,gene
ARHGAP29,gene
ARHGAP30,gene
ARHGAP31,gene
ARHGAP32,gene
ARHGAP33,gene
ARHGAP35,gene
ARHGAP36,gene
ARHGAP39,gene
ARHGAP4,gene
ARHGAP40,gene
ARHGAP42,gene
ARHGAP44,gene
ARHGAP45,gene
ARHGAP5,gene
ARHGAP6,gene
ARHGAP8,gene
ARHGAP9,gene
ARHGDIA,gene
ARHGDIB,gene
ARHGDIG,gene
ARHGEF1,gene
ARHGEF10,gene
ARHGEF10L,gene
ARHGEF11,gene
ARHGEF12,gene
ARHGEF15,gene
ARHGEF16,gene
ARHGEF17,gene
ARHGEF18,gene
ARHGEF19,gene
ARHGEF2,gene
