ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
artenimol,C039060,,PGK1,5230,protein,Homo sapiens,9606,artenimol analog binds to PGK1 protein,affects^binding,26340163
artenimol,C039060,,PKM,5315,protein,Homo sapiens,9606,artenimol analog binds to PKM protein,affects^binding,26340163
artenimol,C039060,,PPIA,5478,protein,Homo sapiens,9606,artenimol analog binds to PPIA protein,affects^binding,26340163
artenimol,C039060,,PRDX1,5052,protein,Homo sapiens,9606,artenimol analog binds to PRDX1 protein,affects^binding,26340163
artenimol,C039060,,RPL10,6134,protein,Homo sapiens,9606,artenimol analog binds to RPL10 protein,affects^binding,26340163
artenimol,C039060,,RPL14,9045,protein,Homo sapiens,9606,artenimol analog binds to RPL14 protein modified form,affects^binding,26340163
artenimol,C039060,,RPL18,6141,protein,Homo sapiens,9606,artenimol analog binds to RPL18 protein,affects^binding,26340163
artenimol,C039060,,RPL23A,6147,protein,Homo sapiens,9606,artenimol analog binds to RPL23A protein,affects^binding,26340163
artenimol,C039060,,RPL35,11224,protein,Homo sapiens,9606,artenimol analog binds to RPL35 protein,affects^binding,26340163
artenimol,C039060,,RPL4,6124,protein,Homo sapiens,9606,artenimol analog binds to RPL4 protein,affects^binding,26340163
artenimol,C039060,,RPS13,6207,protein,Homo sapiens,9606,artenimol analog binds to RPS13 protein,affects^binding,26340163
artenimol,C039060,,RPS17,6218,protein,Homo sapiens,9606,artenimol analog binds to RPS17 protein,affects^binding,26340163
artenimol,C039060,,RPS18,6222,protein,Homo sapiens,9606,artenimol analog binds to RPS18 protein,affects^binding,26340163
artenimol,C039060,,RPS19,6223,protein,Homo sapiens,9606,artenimol analog binds to RPS19 protein,affects^binding,26340163
artenimol,C039060,,RPS28,6234,protein,Homo sapiens,9606,artenimol analog binds to RPS28 protein,affects^binding,26340163
artenimol,C039060,,RPS5,6193,protein,Homo sapiens,9606,artenimol analog binds to RPS5 protein modified form,affects^binding,26340163
artenimol,C039060,,RPS6,6194,protein,Homo sapiens,9606,artenimol analog binds to RPS6 protein,affects^binding,26340163
artenimol,C039060,,RPS8,6202,protein,Homo sapiens,9606,artenimol analog binds to RPS8 protein,affects^binding,26340163
artenimol,C039060,,RPS9,6203,protein,Homo sapiens,9606,artenimol analog binds to RPS9 protein,affects^binding,26340163
artenimol,C039060,,SF1,7536,protein,Homo sapiens,9606,artenimol analog binds to SF1 protein,affects^binding,26340163
artenimol,C039060,,SFPQ,6421,protein,Homo sapiens,9606,artenimol analog binds to SFPQ protein,affects^binding,26340163
artenimol,C039060,,SNRPD2,6633,protein,Homo sapiens,9606,artenimol analog binds to SNRPD2 protein,affects^binding,26340163
artenimol,C039060,,SRP14,6727,protein,Homo sapiens,9606,artenimol analog binds to SRP14 protein,affects^binding,26340163
artenimol,C039060,,SRSF4,6429,protein,Homo sapiens,9606,artenimol analog binds to SRSF4 protein,affects^binding,26340163
artenimol,C039060,,TAGLN,6876,protein,Homo sapiens,9606,artenimol analog binds to TAGLN protein,affects^binding,26340163
artenimol,C039060,,TAGLN2,8407,protein,Homo sapiens,9606,artenimol analog binds to TAGLN2 protein,affects^binding,26340163
artenimol,C039060,,TPI1,7167,protein,Homo sapiens,9606,artenimol analog binds to TPI1 protein,affects^binding,26340163
artenimol,C039060,,TPM1,7168,protein,Homo sapiens,9606,artenimol analog binds to TPM1 protein,affects^binding,26340163
artenimol,C039060,,TUBA1A,7846,protein,Homo sapiens,9606,artenimol analog binds to TUBA1A protein,affects^binding,26340163
artenimol,C039060,,VIM,7431,protein,Homo sapiens,9606,artenimol analog binds to VIM protein modified form,affects^binding,26340163
artenimol,C039060,,ZYX,7791,protein,Homo sapiens,9606,artenimol analog binds to ZYX protein,affects^binding,26340163
Artesunate,D000077332,,AR,367,protein,Homo sapiens,9606,Artesunate binds to and results in decreased activity of AR protein,affects^binding|decreases^activity,25752796
Artesunate,D000077332,,ESR1,2099,protein,Homo sapiens,9606,Artesunate binds to and results in decreased activity of ESR1 protein,affects^binding|decreases^activity,25752796
Artesunate,D000077332,,PGR,5241,protein,Homo sapiens,9606,Artesunate binds to and results in increased activity of PGR protein,affects^binding|increases^activity,25752796
Artesunate,D000077332,,TP53,7157,protein,Homo sapiens,9606,Artesunate inhibits the reaction [TPT1 protein binds to TP53 protein],affects^binding|decreases^reaction,33259807
Artesunate,D000077332,,TPT1,7178,protein,Homo sapiens,9606,Artesunate binds to and results in decreased expression of TPT1 protein,affects^binding|decreases^expression,33259807
ar-turmerone,C078098,532-65-0,PPARG,5468,protein,Homo sapiens,9606,ar-turmerone binds to PPARG protein,affects^binding,15713005
"Asbestos, Crocidolite",D017638,12001-28-4,CEBPB,1051,protein,Homo sapiens,9606,"Asbestos, Crocidolite promotes the reaction [CEBPB protein binds to CXCL8 promoter]",affects^binding|increases^reaction,8969274
"Asbestos, Crocidolite",D017638,12001-28-4,EGFR,1956,protein,Homo sapiens,9606,"Asbestos, Crocidolite binds to EGFR protein",affects^binding,23672436
"Asbestos, Crocidolite",D017638,12001-28-4,G6PD,2539,protein,Homo sapiens,9606,"Asbestos, Crocidolite binds to and results in decreased activity of G6PD protein",affects^binding|decreases^activity,11978496
"Asbestos, Crocidolite",D017638,12001-28-4,NFKB1,4790,protein,Homo sapiens,9606,"Asbestos, Crocidolite promotes the reaction [NFKB1 protein binds to CXCL8 promoter]",affects^binding|increases^reaction,8969274
"Asbestos, Crocidolite",D017638,12001-28-4,RELA,5970,protein,Homo sapiens,9606,"Asbestos, Crocidolite promotes the reaction [RELA protein binds to CXCL8 promoter]",affects^binding|increases^reaction,8969274
"Asbestos, Crocidolite",D017638,12001-28-4,RHOA,387,protein,Homo sapiens,9606,"Asbestos, Crocidolite inhibits the reaction [RHOA protein binds to Guanosine Triphosphate]",affects^binding|decreases^reaction,21257924
"Asbestos, Crocidolite",D017638,12001-28-4,TXN,7295,protein,Homo sapiens,9606,"[Asbestos, Crocidolite results in increased oxidation of TXN protein] inhibits the reaction [TXN protein binds to TXNIP protein]",affects^binding|decreases^reaction|increases^oxidation,24885895
"Asbestos, Crocidolite",D017638,12001-28-4,TXNIP,10628,protein,Homo sapiens,9606,"[Asbestos, Crocidolite results in increased oxidation of TXN protein] inhibits the reaction [TXN protein binds to TXNIP protein]",affects^binding|decreases^reaction|increases^oxidation,24885895
ascorbate-2-phosphate,C011669,23313-12-4,BMP4,652,protein,Homo sapiens,9606,[[ascorbate-2-phosphate co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
ascorbate-2-phosphate,C011669,23313-12-4,INHBA,3624,protein,Homo sapiens,9606,[[ascorbate-2-phosphate co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
Ascorbic Acid,D001205,50-81-7,AGT,183,protein,Homo sapiens,9606,[Ascorbic Acid co-treated with Copper Sulfate] promotes the reaction [AGT protein modified form results in increased chemical synthesis of [4-hydroxy-2-nonenal binds to AGT protein modified form]],affects^binding|affects^cotreatment|increases^chemical synthesis|increases^reaction,31144504
Ascorbic Acid,D001205,50-81-7,APP,351,protein,Homo sapiens,9606,[[APP protein modified form binds to Copper] which co-treated with Ascorbic Acid] results in increased oxidation of phosphatidylcholine hydroperoxide,affects^binding|affects^cotreatment|increases^oxidation,17964426
Ascorbic Acid,D001205,50-81-7,BMP4,652,protein,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
Ascorbic Acid,D001205,50-81-7,FGF1,2246,protein,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
Ascorbic Acid,D001205,50-81-7,HGF,3082,protein,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
Ascorbic Acid,D001205,50-81-7,HIF1A,3091,protein,Homo sapiens,9606,[benzyloxycarbonylleucyl-leucyl-leucine aldehyde co-treated with Ketoglutaric Acids co-treated with Ascorbic Acid co-treated with ferrous chloride] promotes the reaction [VHL protein binds to HIF1A protein],affects^binding|affects^cotreatment|increases^reaction,19263519
Ascorbic Acid,D001205,50-81-7,INHBA,3624,protein,Homo sapiens,9606,[[Ascorbic Acid co-treated with Chir 99021 co-treated with XAV939 co-treated with BMP4 protein co-treated with FGF1 protein co-treated with WNT3A protein co-treated with HGF protein] co-treated with [INHBA protein binds to INHBA protein]] results in decreased expression of ABCC1 mRNA,affects^binding|affects^cotreatment|decreases^expression,34480604
Ascorbic Acid,D001205,50-81-7,MT3,4504,protein,Homo sapiens,9606,[[MT3 protein binds to Zinc] which co-treated with Ascorbic Acid] inhibits the reaction [Copper results in increased chemical synthesis of Hydroxyl Radical],affects^binding|affects^cotreatment|decreases^reaction|increases^chemical synthesis,17389590
Ascorbic Acid,D001205,50-81-7,PON1,5444,protein,Homo sapiens,9606,PON1 protein results in increased metabolism of [Acrolein binds to Ascorbic Acid],affects^binding|increases^metabolic processing,20353174
Ascorbic Acid,D001205,50-81-7,PON2,5445,protein,Homo sapiens,9606,PON2 protein results in increased metabolism of [Acrolein binds to Ascorbic Acid],affects^binding|increases^metabolic processing,20353174
