node_1,node_2_name
DB00127,CASR
strontium-ranelate,CASR
DB04894,TACR1
maropitant,TACR1
DB09229,ADRA2B
DB09304,ADRA2B
DB09229,ADRA2C
DB12478,ADRA2C
DB09304,ADRA2C
DB00167,BCAT2
DB09014,SIGMAR1
hyaluronic-acid,HMMR
clebopride,ACHE
pralidoxime-chloride,ACHE
DB12153,ACHE
methylene-blue,ACHE
DB03852,ACHE
DB00311,CA4
DB00232,CA4
DB04665,CA4
DB01429,SCN5A
ephedrine-(racemic),ADRA2A
DB09229,ADRA2A
DB09244,ADRA2A
DB12478,ADRA2A
DB09286,ADRA2A
DB09304,ADRA2A
DB12153,SLC1A2
sodium-tetradecyl-sulfate,PROS1
pralidoxime-chloride,BCHE
DB01408,BCHE
DB09166,PTAFR
DB04216,STK17B
DB01352,CHRNA4
DB00463,CHRNA4
DB01483,CHRNA4
DB01431,SLC6A9
DB01060,CYP2C19
DB06264,CYP2C19
DB00916,CYP2C9
DB01201,CYP2C9
DB00607,CYP1A2
DB06290,CYP1A2
DB00300,CYP1A2
DB00976,CYP1A2
DB13036,TBXA2R
DB06739,TBXA2R
picotamide,TBXA2R
DB01207,TBXA2R
DB09229,CACNA1S
telotristat-ethyl,TPH1
DB08986,GABRA1
DB00837,GABRA1
DB01352,GABRA1
DB00463,GABRA1
DB00546,GABRA1
DB01483,GABRA1
DB06470,GABRA1
DB09166,GABRA1
DB11582,GABRA1
DB01352,GABRA4
DB00463,GABRA4
DB01483,GABRA4
DB11582,GABRA4
L-Arginine,ASL
DB00125,ASL
DB00133,SRR
taltirelin,TRHR
DB05266,IL1B
DB11950,DPP4
DB12417,DPP4
trelagliptin,DPP4
DB04572,CYP3A4
DB00607,CYP3A4
DB08811,CYP3A4
DB06290,CYP3A4
DB01232,CYP3A4
DB01609,CYP3A4
DB11742,CYP3A4
DB00916,CYP3A4
DB01333,CYP3A4
DB01201,CYP3A4
DB01263,CYP3A4
DB00976,CYP3A4
DB00155,PADI4
L-Citrulline,PADI4
DB00254,PADI4
DB00167,ACADSB
DB08839,SLC36A1
5-hydroxytryptophan,SLC36A1
DB00832,CACNA1H
DB01397,PTGS1
DB00154,PTGS1
DB13217,PTGS1
DB09288,PTGS1
flurbiprofen-(S)-(+),PTGS1
DB02709,PTGS1
bendazac,PTGS1
ufenamate,PTGS1
DB09215,PTGS1
DB08984,PTGS1
mofezolac,PTGS1
amtolmetin-guacil,PTGS1
sodium-salicylate,PTGS1
DB04552,PTGS1
ibuprofen-lysine,PTGS1
DB12545,PTGS1
thiostrepton,FOXM1
aceclidine,CHRM2
vinburnine,CHRM2
DB00505,CHRM2
DB09262,CHRM2
trepibutone,CHRM2
caramiphen,CHRM2
DB02709,PI4K2B
DB14061,ABCB1
DB09229,CACNA1D
DB09146,HBA2
DB00133,SPTLC2
DB08835,FOLH1
DB00155,DDAH1
L-Citrulline,DDAH1
DB05266,PDE4B
DB09283,PDE4B
DB09273,PDE4B
DB01412,PDE4B
DB01094,SHBG
DB12319,ABCC1
DB00127,SMS
DB09283,PDE1B
DB12947,TYMS
ftorafur,TYMS
DB09010,TYMS
DB01356,IMPA2
DB00546,GABRR1
DB00155,PADI1
L-Citrulline,PADI1
DB09230,CACNB1
bifemelane,MAOA
DB00601,MAOA
DB09244,MAOA
DB13169,MAOA
DB09245,MAOA
psoralen,MAOA
spiperone,ADRA1D
ephedrine-(racemic),ADRA1D
DB09229,ADRA1D
DB08985,ADRA1D
DB01295,ADRA1D
DB08922,ADRA1D
DB12478,ADRA1D
buflomedil,ADRA1D
DB12230,ADRA1D
DB01622,ADRA1D
adrenalone,ADRA1D
DB09286,ADRA1D
DB09040,CYP51A1
DB00916,CYP51A1
DB00196,CYP51A1
DB01167,CYP51A1
DB00311,CA5B
L-Arginine,SLC7A1
DB00125,SLC7A1
DB00147,PDXK
DB09283,PDE7B
DB09283,PDE3B
DB00167,IARS2
DB09516,TYR
azelaic-acid,TYR
DB08986,GABRA2
DB01352,GABRA2
DB00463,GABRA2
DB00546,GABRA2
DB01483,GABRA2
DB09166,GABRA2
DB11582,GABRA2
DB08986,GABRA3
DB01352,GABRA3
DB00463,GABRA3
DB00546,GABRA3
DB01483,GABRA3
DB09166,GABRA3
DB11582,GABRA3
DB01352,GABRA6
DB00463,GABRA6
DB01483,GABRA6
DB11582,GABRA6
DB00463,GABRB1
DB00546,GABRB1
sodium-oxybate,GABRB1
DB11582,GABRB1
DB00043,FCER1A
spiperone,HTR7
DB09000,HTR7
DB08839,HTR7
DB09304,HTR7
DB01094,SOAT2
DB01094,SOAT1
DB09283,PDE6B
spiperone,HTR2B
DB12478,HTR2B
DB08839,HTR2B
DB09286,HTR2B
DB12163,HTR2B
DB09304,HTR2B
spiperone,HTR6
DB08839,HTR6
DB09304,HTR6
chlorogenic-acid,SLC37A4
DB12836,PTGER4
penfluridol,CACNA1G
DB00832,CACNA1G
DB09283,PDE10A
DB08811,PDE10A
DB11753,SLCO2B1
DB01252,KCNJ10
DB01201,CYP2C8
DB00352,IMPDH1
DB09283,PDE6A
DB04216,HIBCH
DB02709,MTNR1B
DB12017,TBXAS1
DB01207,TBXAS1
levocarnitine-propionate,CRAT
DB13036,PTGDR2
DB00832,CACNA1I
DB09235,CACNA1I
DB01685,XDH
DB05266,PDE3A
pimobendan,PDE3A
olprinone,PDE3A
DB12082,PDE3A
DB09283,PDE3A
DB08811,PDE3A
DB04665,CYP2A6
DB06264,CYP2D6
DB00976,CYP2D6
DB00167,BCAT1
DB00155,PADI3
L-Citrulline,PADI3
DB11783,ACE
quinaprilat,ACE
DB08836,ACE
fluocinolone-acetonide,SERPINA6
DB00311,CA3
revaprazan,ATP4A
omeprazole-magnesium,ATP4A
omeprazole-magnesium,ATP4B
DB08873,CMA1
phosphatidylcholine,PCTP
bifemelane,MAOB
DB00601,MAOB
DB13169,MAOB
DB09245,MAOB
psoralen,MAOB
DB00311,CA14
DB04665,CA14
DB00976,CYP3A5
DB08992,CYP2J2
melevodopa,DDC
DB07615,HPGDS
DB09271,CHRM1
aminopentamide,CHRM1
aceclidine,CHRM1
pipenzolate,CHRM1
benztropine-mesylate,CHRM1
vinburnine,CHRM1
piperidolate,CHRM1
