Drug,gene_num_total,gene_num_in_graph
DB00338,3,3
DB00340,5,5
DB00341,1,1
DB00342,7,7
DB00343,3,3
DB00344,2,2
DB00347,1,1
DB00348,1,1
DB00349,16,16
DB00350,3,3
DB00351,2,2
DB00356,1,1
DB00357,2,2
DB00360,4,4
DB00361,1,1
DB00363,33,33
DB00364,6,6
DB00366,7,7
DB00367,6,6
DB00368,12,12
DB00370,8,8
DB00371,18,18
DB00372,1,1
DB00373,2,2
DB00374,5,5
DB00376,6,6
DB00377,1,1
DB00378,1,1
DB00379,2,2
DB00380,2,2
DB00381,8,8
DB00382,3,3
DB00383,4,4
DB00384,4,4
DB00385,2,2
DB00387,5,5
DB00388,4,4
DB00389,1,1
DB00390,7,7
DB00391,5,5
DB00392,4,4
DB00393,10,10
DB00394,1,1
DB00395,5,5
DB00396,10,10
DB00397,6,6
DB00398,11,11
DB00399,2,2
DB00400,1,1
DB00401,5,5
DB00402,17,17
DB00403,2,2
DB00404,17,17
DB00405,1,1
DB00408,32,32
DB00411,5,5
DB00412,7,7
DB00413,5,5
DB00414,2,2
DB00415,3,3
DB00417,1,1
DB00418,17,17
DB00419,1,1
DB00420,7,7
DB00421,16,16
DB00422,3,3
DB00423,1,1
DB00424,6,6
DB00425,5,5
DB00427,1,1
DB00428,2,2
DB00429,2,2
DB00432,1,1
DB00433,8,8
DB00434,9,9
DB00435,6,6
DB00436,6,6
DB00437,1,1
DB00439,1,1
DB00440,1,1
DB00441,4,4
DB00443,1,1
DB00444,2,2
DB00445,2,2
DB00446,1,1
DB00448,2,2
DB00449,6,6
DB00450,2,2
DB00451,4,4
DB00452,1,1
DB00454,16,16
DB00455,2,2
DB00457,6,6
DB00458,25,25
DB00459,8,8
DB00461,2,2
DB00462,3,3
DB00464,2,2
DB00467,2,2
DB00469,2,2
DB00470,2,2
DB00471,2,2
DB00472,7,7
DB00475,17,17
DB00476,3,3
DB00477,26,26
DB00480,5,5
DB00481,4,4
DB00482,7,7
DB00484,3,3
DB00489,3,3
DB00491,4,4
DB00492,1,1
DB00493,7,7
DB00494,1,1
DB00496,5,5
DB00497,3,3
DB00498,1,1
DB00499,3,3
DB00500,2,2
DB00501,1,1
DB00502,18,18
DB00503,1,1
DB00504,2,2
DB00508,5,5
DB00509,3,3
DB00511,1,1
DB00513,3,3
DB00514,22,22
DB00515,4,4
DB00517,4,4
DB00519,1,1
DB00521,2,2
DB00523,9,9
DB00524,1,1
DB00527,3,3
DB00528,2,2
DB00530,2,2
DB00531,1,1
DB00532,2,2
DB00533,2,2
DB00535,1,1
DB00537,2,2
DB00539,2,2
DB00540,23,23
DB00541,2,2
DB00542,1,1
DB00543,44,44
DB00544,3,3
DB00545,3,3
DB00547,4,4
DB00548,5,5
DB00549,1,1
DB00550,2,2
DB00551,1,1
DB00552,1,1
DB00553,1,1
DB00554,2,2
DB00555,41,41
DB00557,2,2
DB00559,2,2
DB00561,2,2
DB00562,13,13
DB00563,5,5
DB00564,12,12
DB00568,16,16
DB00569,2,2
DB00570,7,7
DB00571,5,5
DB00572,8,8
DB00573,4,4
DB00574,7,7
DB00575,7,7
DB00579,4,4
DB00580,3,3
DB00583,12,12
DB00584,1,1
DB00585,1,1
DB00586,2,2
DB00588,4,4
DB00589,15,15
DB00590,6,6
DB00591,7,7
DB00593,1,1
DB00594,9,9
DB00596,4,4
DB00598,5,5
DB00599,12,12
DB00600,1,1
DB00603,19,19
DB00604,4,4
DB00605,7,7
DB00606,13,13
DB00608,7,7
DB00610,2,2
DB00611,3,3
DB00612,2,2
DB00615,2,2
DB00617,2,2
DB00619,11,11
DB00620,1,1
DB00621,1,1
DB00622,37,37
DB00623,7,7
DB00624,3,3
DB00626,2,2
DB00627,5,5
DB00628,17,17
DB00629,2,2
DB00630,5,5
DB00631,4,4
DB00635,1,1
DB00636,2,2
DB00637,4,4
DB00640,4,4
DB00641,3,3
DB00642,4,4
DB00643,2,2
DB00644,1,1
DB00645,2,2
DB00647,11,11
DB00648,5,5
DB00650,2,2
DB00651,7,7
DB00652,3,3
DB00653,9,9
DB00654,1,1
DB00655,5,5
DB00656,7,7
DB00657,4,4
DB00659,9,9
DB00661,33,33
DB00662,1,1
DB00663,4,4
DB00665,1,1
DB00666,1,1
DB00668,8,8
DB00669,4,4
DB00670,1,1
DB00672,2,2
DB00673,1,1
DB00674,3,3
DB00675,17,17
DB00677,3,3
DB00678,2,2
DB00679,6,6
DB00680,1,1
DB00682,2,2
DB00683,18,18
DB00685,1,1
DB00686,3,3
DB00687,3,3
DB00688,4,4
DB00690,17,17
DB00691,1,1
DB00692,8,8
DB00694,2,2
DB00695,3,3
DB00696,15,15
DB00697,7,7
DB00699,1,1
DB00700,1,1
DB00703,5,5
DB00704,4,4
DB00706,3,3
DB00707,2,2
DB00710,2,2
DB00712,2,2
DB00713,2,2
DB00714,14,14
DB00715,36,36
DB00716,5,5
DB00717,3,3
DB00719,1,1
DB00720,3,3
DB00722,2,2
DB00723,3,3
DB00724,2,2
DB00725,5,5
DB00726,24,24
DB00727,4,4
DB00731,2,2
DB00733,2,2
DB00734,12,12
DB00736,3,3
DB00737,2,2
DB00738,2,2
DB00740,3,3
DB00741,2,2
DB00744,1,1
DB00745,2,2
DB00746,1,1
DB00747,8,8
DB00748,1,1
DB00749,3,3
DB00751,6,6
DB00752,2,2
DB00754,2,2
DB00755,15,15
DB00757,1,1
DB00758,1,1
DB00759,2,2
DB00761,6,6
DB00762,2,2
DB00763,1,1
DB00765,1,1
DB00768,8,8
DB00770,6,6
DB00771,1,1
DB00773,2,2
DB00774,9,9
DB00775,2,2
DB00776,14,14
DB00777,10,10
DB00780,6,6
DB00782,1,1
DB00783,7,7
DB00784,2,2
DB00788,3,3
DB00790,2,2
DB00792,1,1
DB00794,20,20
DB00795,15,15
DB00796,1,1
DB00797,7,7
DB00798,1,1
DB00799,4,4
DB00800,8,8
DB00801,17,17
DB00804,3,3
DB00805,9,9
DB00806,4,4
DB00808,2,2
DB00809,4,4
DB00810,1,1
DB00811,2,2
DB00812,3,3
DB00813,4,4
DB00814,2,2
DB00816,1,1
DB00818,18,18
DB00819,8,8
DB00820,3,3
DB00821,2,2
DB00822,3,3
DB00823,2,2
DB00824,7,7
DB00825,13,13
DB00829,17,17
DB00830,2,2
DB00831,6,6
DB00834,4,4
DB00835,6,6
DB00836,7,7
DB00838,2,2
DB00839,3,3
DB00841,6,6
DB00842,17,17
DB00843,15,15
DB00844,3,3
DB00846,4,4
DB00847,2,2
DB00848,3,3
DB00849,11,11
DB00850,3,3
DB00851,2,2
DB00852,22,22
DB00854,3,3
DB00857,1,1
DB00860,1,1
DB00861,2,2
DB00862,3,3
DB00863,2,2
DB00864,2,2
DB00865,4,4
DB00867,29,29
DB00868,1,1
DB00869,4,4
DB00871,3,3
DB00872,2,2
DB00875,8,8
DB00876,1,1
DB00877,1,1
DB00880,3,3
DB00881,1,1
DB00882,2,2
DB00883,1,1
DB00884,1,1
DB00885,1,1
DB00887,5,5
DB00889,1,1
DB00890,2,2
DB00893,4,4
DB00894,1,1
DB00896,2,2
DB00897,17,17
DB00898,54,54
DB00902,1,1
DB00903,4,4
DB00904,5,5
DB00905,3,3
DB00906,1,1
DB00908,7,7
DB00909,38,38
DB00910,1,1
DB00912,4,4
DB00914,4,4
DB00915,5,5
DB00917,6,6
DB00918,2,2
DB00920,2,2
DB00921,4,4
DB00922,4,4
DB00924,10,10
DB00925,9,9
DB00927,1,1
DB00928,1,1
DB00929,5,5
DB00933,2,2
DB00934,17,17
DB00935,9,9
DB00936,8,8
DB00937,3,3
DB00938,3,3
DB00939,5,5
DB00940,6,6
DB00942,1,1
DB00944,2,2
DB00945,30,30
DB00946,1,1
