drug,drug_name,disease,disease_name,indication
DB00368,norepinephrine,C0030567,Parkinson's Disease,1
DB00368,norepinephrine,C0036983,Septic Shock,1
DB00368,norepinephrine,C0042109,urticaria,1
DB00368,norepinephrine,C0018681,headache,1
DB00368,norepinephrine,C0085159,seasonal affective disorder,1
DB00370,mirtazapine,C1269683,Major Depressive Disorder,1
DB00371,meprobamate,C0003467,anxiety,1
DB00373,timolol,C0028840,ocular hypertension,1
DB00373,timolol,C0017612,"Glaucoma, Open-Angle",1
DB00373,timolol,C0020538,Hypertensive disease,1
DB00373,timolol,C0149931,Migraine Disorders,1
DB00373,timolol,C0027051,Myocardial Infarction,1
DB00373,timolol,C0003811,Cardiac Arrhythmia,1
DB00373,timolol,C0018802,congestive heart failure,1
DB00373,timolol,C0017601,glaucoma,1
DB00374,Treprostinil,C2973725,pulmonary arterial hypertension (PAH),1
DB00374,Treprostinil,C0020542,Pulmonary Hypertension,1
DB00374,Treprostinil,C0040053,thrombosis,1
DB00376,trihexyphenidyl,C0015371,Extrapyramidal Disorders,1
DB00376,trihexyphenidyl,C0242422,Parkinsonian Disorders,1
DB00376,trihexyphenidyl,C0030567,Parkinson's Disease,1
DB00376,trihexyphenidyl,C0013384,Dyskinetic Syndrome,1
DB00377,palonosetron,C0027497,nausea,1
DB00377,palonosetron,C0042963,vomiting,1
DB00379,mexiletine,C0085612,ventricular arrhythmias,1
DB00379,mexiletine,C0003811,Cardiac Arrhythmia,1
DB00379,mexiletine,C0151636,Premature Ventricular Contractions,1
DB00379,mexiletine,C0042514,ventricular tachycardia (VT),1
DB00379,mexiletine,C0042510,ventricular fibrillation (VF),1
DB00379,mexiletine,C0011882,Diabetic Neuropathies,1
DB00381,amlodipine,C0038454,stroke,1
DB00381,amlodipine,C0020538,Hypertensive disease,1
DB00381,amlodipine,C0002962,angina pectoris,1
DB00381,amlodipine,C1956346,coronary artery disease (CAD),1
DB00383,oxyphencyclimine,C0030920,Peptic Ulcer,1
DB00384,triamterene,C0020538,Hypertensive disease,1
DB00384,triamterene,C0013604,edema,1
DB00384,triamterene,C0018802,congestive heart failure,1
DB00384,triamterene,C0023890,hepatic cirrhosis,1
DB00384,triamterene,C0027726,nephrotic syndrome,1
DB00384,triamterene,C0020621,hypokalemia,1
DB00385,valrubicin,C0005684,Malignant Neoplasm Of Urinary Bladder,1
DB00385,valrubicin,C0005695,Bladder Neoplasm,1
DB00387,procyclidine,C0030567,Parkinson's Disease,1
DB00387,procyclidine,C0242422,Parkinsonian Disorders,1
DB00387,procyclidine,C0015371,Extrapyramidal Disorders,1
DB00387,procyclidine,C0013384,Dyskinetic Syndrome,1
DB00387,procyclidine,C0013421,dystonia,1
DB00388,phenylephrine,C0010200,Coughing,1
DB00388,phenylephrine,C0015967,fever,1
DB00388,phenylephrine,C0035455,Rhinitis,1
DB00388,phenylephrine,C0027424,Nasal congestion (finding),1
DB00388,phenylephrine,C2607914,Allergic Rhinitis (Disorder),1
DB00388,phenylephrine,C0019112,hemorrhoids,1
DB00388,phenylephrine,C0018621,Hay Fever,1
DB00388,phenylephrine,C0026961,Mydriasis,1
DB00388,phenylephrine,C0030590,Paroxysmal Supraventricular Tachycardia,1
DB00388,phenylephrine,C0017612,"Glaucoma, Open-Angle",1
DB00388,phenylephrine,C0036983,Septic Shock,1
DB00388,phenylephrine,C0039240,Supraventricular Tachycardia,1
DB00388,phenylephrine,C0020649,hypotension,1
DB00389,carbimazole,C0020550,hyperthyroidism,1
DB00389,carbimazole,C0018213,Grave's disease,1
DB00389,carbimazole,C0040156,Thyrotoxicosis,1
DB00390,digoxin,C0004238,atrial fibrillation (AF),1
DB00390,digoxin,C0003811,Cardiac Arrhythmia,1
DB00390,digoxin,C0018802,congestive heart failure,1
DB00390,digoxin,C0018801,Heart Failure,1
DB00390,digoxin,C0004239,Atrial Flutter,1
DB00390,digoxin,C0036980,"Shock, Cardiogenic",1
DB00390,digoxin,C0039240,Supraventricular Tachycardia,1
DB00391,SULPIRIDE,C0036341,schizophrenia,1
DB00391,SULPIRIDE,C0017168,gastroesophageal reflux disease (GERD),1
DB00391,SULPIRIDE,C0030920,Peptic Ulcer,1
DB00391,SULPIRIDE,C0003467,anxiety,1
DB00391,SULPIRIDE,C0042571,vertigo,1
DB00391,SULPIRIDE,C0022104,irritable bowel syndrome,1
DB00393,nimodipine,C0038525,Subarachnoid Hemorrhage,1
DB00393,nimodipine,C0022116,Ischemia,1
DB00393,nimodipine,C0019080,hemorrhage,1
DB00394,beclomethasone-dipropionate,C0035455,Rhinitis,1
DB00394,beclomethasone-dipropionate,C0027430,Nasal Polyps,1
DB00394,beclomethasone-dipropionate,C0004096,asthma,1
DB00394,beclomethasone-dipropionate,C2607914,Allergic Rhinitis (Disorder),1
DB00394,beclomethasone-dipropionate,C0003811,Cardiac Arrhythmia,1
DB00394,beclomethasone-dipropionate,C0014356,Enterocolitis,1
DB00395,carisoprodol,C0004604,Back Pain,1
DB00395,carisoprodol,C0026838,Muscle Spasticity,1
DB00395,carisoprodol,C0027121,Myositis,1
DB00396,progesterone,C0476089,Endometrial Carcinoma,1
DB00396,progesterone,C0014175,endometriosis,1
DB00396,progesterone,C0025874,Metrorrhagia,1
DB00396,progesterone,C0232940,Secondary Physiologic Amenorrhea,1
DB00396,progesterone,C0002453,amenorrhea,1
DB00396,progesterone,C0014173,Endometrial Hyperplasia,1
DB00396,progesterone,C0021359,infertility,1
DB00396,progesterone,C0021361,Female Infertility,1
DB00397,Phenylpropanolamine,C2607914,Allergic Rhinitis (Disorder),1
DB00397,Phenylpropanolamine,C0027424,Nasal congestion (finding),1
DB00397,Phenylpropanolamine,C0010200,Coughing,1
DB00397,Phenylpropanolamine,C0018621,Hay Fever,1
DB00397,Phenylpropanolamine,C0035455,Rhinitis,1
DB00397,Phenylpropanolamine,C0028754,obesity,1
DB00397,Phenylpropanolamine,C0033117,Priapism,1
DB00397,Phenylpropanolamine,C0042024,urinary incontinence,1
DB00398,sorafenib,C0007134,renal cell carcinoma (RCC),1
DB00398,sorafenib,C2239176,hepatocellular carcinoma (HCC),1
DB00399,zoledronic-acid,C0029456,osteoporosis,1
DB00399,zoledronic-acid,C0029401,Osteitis Deformans,1
DB00399,zoledronic-acid,C0029458,"Osteoporosis, Postmenopausal",1
DB00399,zoledronic-acid,C0026764,multiple myeloma,1
DB00399,zoledronic-acid,C0005967,Bone Neoplasms,1
DB00399,zoledronic-acid,C0020437,hypercalcemia,1
DB00400,griseofulvin,C0040261,onychomycosis,1
DB00401,nisoldipine,C0020538,Hypertensive disease,1
DB00402,eszopiclone,C0917801,Sleeplessness,1
DB00404,Alprazolam,C0003467,anxiety,1
DB00404,Alprazolam,C0338908,Mixed anxiety and depressive disorder,1
DB00404,Alprazolam,C0030319,panic disorders,1
DB00405,Dexbrompheniramine,C0343065,Symptomatic Dermographism,1
DB00405,Dexbrompheniramine,C0018621,Hay Fever,1
DB00405,Dexbrompheniramine,C0033774,Pruritus,1
DB00405,Dexbrompheniramine,C0042109,urticaria,1
DB00405,Dexbrompheniramine,C2607914,Allergic Rhinitis (Disorder),1
DB00405,Dexbrompheniramine,C0020517,Hypersensitivity,1
DB00405,Dexbrompheniramine,C0035457,"Rhinitis, Allergic, Perennial",1
DB00405,Dexbrompheniramine,C0037199,sinusitis,1
DB00408,loxapine,C0036341,schizophrenia,1
DB00408,loxapine,C0005586,bipolar disorder,1
DB00411,carbachol,C0017612,"Glaucoma, Open-Angle",1
DB00411,carbachol,C0017601,glaucoma,1
DB00413,pramipexole,C0035258,restless leg syndrome,1
DB00413,pramipexole,C0030567,Parkinson's Disease,1
DB00413,pramipexole,C0013384,Dyskinetic Syndrome,1
DB00415,ampicillin,C0008311,Cholangitis,1
DB00415,ampicillin,C0155862,Streptococcal Pneumonia,1
DB00415,ampicillin,C0014121,Bacterial Endocarditis,1
DB00415,ampicillin,C0037199,sinusitis,1
DB00415,ampicillin,C0025294,Meningococcal Meningitis,1
DB00415,ampicillin,C0042029,Urinary tract infection,1
DB00415,ampicillin,C0014836,Escherichia coli Infections,1
DB00415,ampicillin,C0025289,meningitis,1
DB00417,penicillin-v-potassium,C0014733,Erysipelas,1
DB00417,penicillin-v-potassium,C0149704,Gingivostomatitis,1
DB00417,penicillin-v-potassium,C0032285,pneumonia,1
DB00418,Secobarbital,C0014544,epilepsy,1
DB00418,Secobarbital,C0038220,status epilepticus,1
DB00418,Secobarbital,C0917801,Sleeplessness,1
DB00418,Secobarbital,C0021603,Sleep Initiation And Maintenance Disorders,1
DB00419,miglustat,C0017205,Gaucher disease,1
DB00419,miglustat,C0220756,"Niemann-Pick Disease, Type C",1
DB00419,miglustat,C1961835,"Gaucher Disease, Type 1",1
DB00419,miglustat,C0020517,Hypersensitivity,1
DB00420,promazine,C0002994,angioedema,1
DB00420,promazine,C0042963,vomiting,1
DB00420,promazine,C0343065,Symptomatic Dermographism,1
DB00420,promazine,C2607914,Allergic Rhinitis (Disorder),1
DB00420,promazine,C0033774,Pruritus,1
DB00420,promazine,C0042109,urticaria,1
DB00420,promazine,C0027498,Nausea and vomiting,1
DB00420,promazine,C0162565,acute intermittent porphyria (AIP),1
DB00420,promazine,C0033975,Psychotic Disorders,1
DB00420,promazine,C0027424,Nasal congestion (finding),1
DB00420,promazine,C0027497,nausea,1
DB00420,promazine,C0036341,schizophrenia,1
DB00421,spironolactone,C0020538,Hypertensive disease,1
DB00421,spironolactone,C0003962,Ascites,1
DB00421,spironolactone,C0013604,edema,1
DB00421,spironolactone,C0020428,hyperaldosteronism,1
DB00421,spironolactone,C0018802,congestive heart failure,1
DB00421,spironolactone,C0023890,hepatic cirrhosis,1
DB00421,spironolactone,C0027726,nephrotic syndrome,1
DB00421,spironolactone,C0020621,hypokalemia,1
DB00422,methylphenidate,C1263846,attention-deficit/hyperactivity disorder (ADHD),1
DB00422,methylphenidate,C0027404,narcolepsy,1
DB00423,methocarbamol,C0026838,Muscle Spasticity,1
DB00423,methocarbamol,C0027121,Myositis,1
DB00424,hyoscyamine,C0085610,Sinus bradycardia,1
DB00424,hyoscyamine,C0037036,Sialorrhea,1
DB00424,hyoscyamine,C0013428,Dysuria,1
DB00424,hyoscyamine,C0030920,Peptic Ulcer,1
DB00424,hyoscyamine,C0010692,Cystitis,1
DB00424,hyoscyamine,C0022104,irritable bowel syndrome,1
DB00424,hyoscyamine,C0030305,pancreatitis,1
DB00424,hyoscyamine,C0030567,Parkinson's Disease,1
DB00424,hyoscyamine,C0035455,Rhinitis,1
DB00424,hyoscyamine,C0005697,neurogenic bladder,1
DB00424,hyoscyamine,C0009324,ulcerative colitis,1
DB00424,hyoscyamine,C0282488,interstitial cystitis (IC),1
DB00424,hyoscyamine,C0040822,tremors,1
DB00425,zolpidem,C0917801,Sleeplessness,1
DB00427,triprolidine,C0018621,Hay Fever,1
DB00427,triprolidine,C0042109,urticaria,1
DB00427,triprolidine,C0033774,Pruritus,1
DB00427,triprolidine,C0343065,Symptomatic Dermographism,1
DB00427,triprolidine,C2607914,Allergic Rhinitis (Disorder),1
DB00427,triprolidine,C0002994,angioedema,1
DB00427,triprolidine,C0035457,"Rhinitis, Allergic, Perennial",1
DB00427,triprolidine,C0020517,Hypersensitivity,1
DB00427,triprolidine,C0011615,"Dermatitis, Atopic",1
DB00429,Carboprost Tromethamine,C0015944,"Fetal Membranes, Premature Rupture",1
DB00432,Trifluridine,C0007102,Malignant Tumor Of Colon,1
DB00432,Trifluridine,C0022573,Keratoconjunctivitis,1
DB00433,prochlorperazine,C0036341,schizophrenia,1
DB00433,prochlorperazine,C0027498,Nausea and vomiting,1
DB00433,prochlorperazine,C0027497,nausea,1
DB00433,prochlorperazine,C0042963,vomiting,1
DB00434,cyproheptadine,C0027424,Nasal congestion (finding),1
DB00434,cyproheptadine,C0042109,urticaria,1
DB00434,cyproheptadine,C0343065,Symptomatic Dermographism,1
DB00434,cyproheptadine,C2607914,Allergic Rhinitis (Disorder),1
DB00434,cyproheptadine,C0033774,Pruritus,1
DB00434,cyproheptadine,C0020517,Hypersensitivity,1
DB00434,cyproheptadine,C1527304,Allergic Reaction,1
DB00434,cyproheptadine,C0002994,angioedema,1
DB00434,cyproheptadine,C0016470,Food Allergy,1
DB00434,cyproheptadine,C0018621,Hay Fever,1
DB00434,cyproheptadine,C0035457,"Rhinitis, Allergic, Perennial",1
DB00434,cyproheptadine,C0013384,Dyskinetic Syndrome,1
DB00434,cyproheptadine,C0009763,conjunctivitis,1
DB00435,Nitric Oxide,C0031190,Persistent Fetal Circulation Syndrome,1
DB00435,Nitric Oxide,C0020542,Pulmonary Hypertension,1
DB00435,Nitric Oxide,C0004096,asthma,1
DB00435,Nitric Oxide,C0035220,"Respiratory Distress Syndrome, Newborn",1
DB00436,bendroflumethiazide,C0020538,Hypertensive disease,1
DB00436,bendroflumethiazide,C0013604,edema,1
DB00436,bendroflumethiazide,C0018801,Heart Failure,1
DB00436,bendroflumethiazide,C0018802,congestive heart failure,1
DB00436,bendroflumethiazide,C0027726,nephrotic syndrome,1
DB00437,allopurinol,C0018099,gout,1
DB00437,allopurinol,C0003868,"Arthritis, Gouty",1
DB00437,allopurinol,C0740394,hyperuricemia,1
DB00437,allopurinol,C0023418,Leukemia,1
DB00437,allopurinol,C0024299,Lymphoma,1
DB00437,allopurinol,C0022650,kidney stones,1
DB00440,trimethoprim,C0042029,Urinary tract infection,1
DB00440,trimethoprim,C0032285,pneumonia,1
DB00440,trimethoprim,C0034186,pyelonephritis,1
DB00440,trimethoprim,C0037199,sinusitis,1
DB00440,trimethoprim,C0011991,diarrhea,1
DB00441,gemcitabine,C0007131,Non-Small Cell Lung Carcinoma,1
DB00441,gemcitabine,C0281361,Adenocarcinoma Pancreas,1
DB00441,gemcitabine,C1140680,Malignant Neoplasm Of Ovary,1
DB00441,gemcitabine,C0887833,"Carcinoma, Pancreatic Ductal",1
DB00443,betamethasone,C0015397,Disorder of eye,1
DB00443,betamethasone,C0027726,nephrotic syndrome,1
DB00443,betamethasone,C0024141,"Lupus Erythematosus, Systemic",1
DB00443,betamethasone,C0036202,Sarcoidosis,1
DB00443,betamethasone,C0021390,inflammatory bowel disease,1
DB00443,betamethasone,C0006114,Cerebral Edema,1
DB00443,betamethasone,C0036830,Serum Sickness,1
DB00443,betamethasone,C0036508,seborrheic dermatitis,1
DB00443,betamethasone,C0019829,Hodgkin's lymphoma,1
DB00443,betamethasone,C0001627,congenital adrenal hyperplasia,1
DB00443,betamethasone,C0004096,asthma,1
DB00443,betamethasone,C0014742,Erythema Multiforme,1
DB00443,betamethasone,C0037274,Dermatologic disorders,1
DB00443,betamethasone,C0002994,angioedema,1
DB00443,betamethasone,C0010346,Crohn's disease,1
DB00443,betamethasone,C0003873,rheumatoid arthritis,1
DB00443,betamethasone,C0405580,Adrenal Cortical Hypofunction,1
DB00443,betamethasone,C0024301,follicular lymphoma,1
DB00443,betamethasone,C0011606,Exfoliative Dermatitis,1
DB00443,betamethasone,C0039103,Synovitis,1
DB00443,betamethasone,C0023052,Laryngeal Edema,1
DB00443,betamethasone,C0079773,cutaneous T-cell lymphoma (CTCL),1
DB00443,betamethasone,C0002875,Cooley's anemia,1
DB00443,betamethasone,C2607914,Allergic Rhinitis (Disorder),1
DB00443,betamethasone,C0030807,Pemphigus,1
DB00443,betamethasone,C0011616,contact dermatitis,1
DB00443,betamethasone,C0026948,Mycosis Fungoides,1
DB00443,betamethasone,C0004364,Autoimmune Diseases,1
DB00443,betamethasone,C0011615,"Dermatitis, Atopic",1
DB00443,betamethasone,C0026769,multiple sclerosis,1
DB00443,betamethasone,C0024138,"Lupus Erythematosus, Discoid",1
DB00443,betamethasone,C0002880,Autoimmune Hemolytic Anemia,1
DB00443,betamethasone,C0023449,Acute Lymphocytic Leukemia,1
DB00443,betamethasone,C0001403,Addison's disease,1
DB00443,betamethasone,C0003872,psoriatic arthritis,1
DB00443,betamethasone,C1260899,"Anemia, Diamond-Blackfan",1
DB00443,betamethasone,C0033860,psoriasis,1
DB00443,betamethasone,C0003868,"Arthritis, Gouty",1
DB00443,betamethasone,C0005138,Berylliosis,1
DB00443,betamethasone,C0038013,ankylosing spondylitis,1
DB00443,betamethasone,C0040147,thyroiditis,1
DB00443,betamethasone,C0024305,non-Hodgkin lymphoma (NHL),1
DB00443,betamethasone,C0015230,Exanthema,1
DB00443,betamethasone,C0013604,edema,1
DB00443,betamethasone,C0020517,Hypersensitivity,1
DB00443,betamethasone,C0015456,Facial Dermatoses,1
DB00443,betamethasone,C0014356,Enterocolitis,1
DB00444,teniposide,C0023449,Acute Lymphocytic Leukemia,1
DB00444,teniposide,C0262584,"Carcinoma, Small Cell",1
DB00444,teniposide,C0023448,Lymphoid Leukemia,1
DB00445,epirubicin,C0678222,Breast Carcinoma,1
DB00445,epirubicin,C0006142,Malignant Neoplasm Of Breast,1
DB00445,epirubicin,C1458155,Mammary Neoplasms,1
DB00446,chloramphenicol,C0025294,Meningococcal Meningitis,1
DB00446,chloramphenicol,C0035585,Rickettsia Infections,1
DB00446,chloramphenicol,C0702166,Acne,1
DB00446,chloramphenicol,C0025289,meningitis,1
DB00446,chloramphenicol,C0015967,fever,1
DB00448,lansoprazole,C0013295,Duodenal Ulcer,1
DB00448,lansoprazole,C0038358,Gastric Ulcer,1
DB00448,lansoprazole,C0043515,Zollinger-Ellison syndrome,1
DB00448,lansoprazole,C0017168,gastroesophageal reflux disease (GERD),1
DB00448,lansoprazole,C0030920,Peptic Ulcer,1
DB00448,lansoprazole,C0041582,Ulcer,1
DB00448,lansoprazole,C0017181,Gastrointestinal Hemorrhage,1
DB00448,lansoprazole,C0014868,Esophagitis,1
DB00448,lansoprazole,C0018834,heartburn,1
DB00449,dipivefrine,C0017612,"Glaucoma, Open-Angle",1
DB00449,dipivefrine,C0017601,glaucoma,1
DB00451,levothyroxine,C0020473,hyperlipidemia,1
DB00451,levothyroxine,C0010308,Congenital Hypothyroidism,1
DB00451,levothyroxine,C0020676,hypothyroidism,1
DB00451,levothyroxine,C0677607,Hashimoto Disease,1
DB00451,levothyroxine,C0018021,goiter,1
DB00451,levothyroxine,C0020550,hyperthyroidism,1
DB00454,Pethidine,C0030193,Pain,1
DB00455,loratadine,C0018621,Hay Fever,1
DB00455,loratadine,C0027424,Nasal congestion (finding),1
DB00455,loratadine,C2607914,Allergic Rhinitis (Disorder),1
DB00455,loratadine,C0042109,urticaria,1
DB00455,loratadine,C0020517,Hypersensitivity,1
DB00455,loratadine,C0035457,"Rhinitis, Allergic, Perennial",1
DB00457,prazosin,C0020538,Hypertensive disease,1
DB00457,prazosin,C0018802,congestive heart failure,1
DB00457,prazosin,C0031511,pheochromocytoma,1
DB00457,prazosin,C2937421,Prostatic Hyperplasia,1
DB00457,prazosin,C0034734,Raynaud's disease,1
DB00458,imipramine,C0011581,Depressive disorder,1
DB00458,imipramine,C0032768,postherpetic neuralgia,1
DB00459,acitretin,C0033860,psoriasis,1
DB00459,acitretin,C0022593,keratosis,1
DB00461,nabumetone,C0029408,osteoarthritis,1
DB00461,nabumetone,C0003873,rheumatoid arthritis,1
DB00462,Methylscopolamine bromide,C0010200,Coughing,1
DB00462,Methylscopolamine bromide,C0030920,Peptic Ulcer,1
DB00462,Methylscopolamine bromide,C0027424,Nasal congestion (finding),1
DB00462,Methylscopolamine bromide,C0022104,irritable bowel syndrome,1
DB00462,Methylscopolamine bromide,C2607914,Allergic Rhinitis (Disorder),1
DB00464,Sodium Tetradecyl Sulfate,C0042345,varicose veins,1
DB00467,Enoxacin,C0042029,Urinary tract infection,1
DB00467,Enoxacin,C0010692,Cystitis,1
DB00469,tenoxicam,C0003864,Arthritis,1
DB00469,tenoxicam,C0029408,osteoarthritis,1
DB00469,tenoxicam,C0003873,rheumatoid arthritis,1
DB00469,tenoxicam,C0038013,ankylosing spondylitis,1
DB00471,montelukast,C2607914,Allergic Rhinitis (Disorder),1
DB00471,montelukast,C0003811,Cardiac Arrhythmia,1
DB00471,montelukast,C0004096,asthma,1
DB00471,montelukast,C0035457,"Rhinitis, Allergic, Perennial",1
DB00472,fluoxetine,C0011581,Depressive disorder,1
DB00472,fluoxetine,C2267227,bulimia nervosa,1
DB00472,fluoxetine,C0028768,obsessive compulsive disorder (OCD),1
DB00472,fluoxetine,C1269683,Major Depressive Disorder,1
DB00472,fluoxetine,C0030319,panic disorders,1
DB00472,fluoxetine,C0005587,"Depression, Bipolar",1
DB00472,fluoxetine,C0005586,bipolar disorder,1
DB00475,Chlordiazepoxide,C0003467,anxiety,1
DB00475,Chlordiazepoxide,C0001957,Alcohol Withdrawal Delirium,1
DB00475,Chlordiazepoxide,C0030920,Peptic Ulcer,1
DB00475,Chlordiazepoxide,C0022104,irritable bowel syndrome,1
DB00475,Chlordiazepoxide,C0338908,Mixed anxiety and depressive disorder,1
DB00475,Chlordiazepoxide,C0236663,Alcohol Withdrawal Syndrome,1
DB00475,Chlordiazepoxide,C0149821,Alcohol Withdrawal Acute,1
DB00476,duloxetine,C1269683,Major Depressive Disorder,1
DB00476,duloxetine,C0231528,muscle pain,1
DB00476,duloxetine,C0031117,peripheral neuropathy,1
DB00477,chlorpromazine,C0036341,schizophrenia,1
DB00477,chlorpromazine,C0027498,Nausea and vomiting,1
DB00477,chlorpromazine,C0162565,acute intermittent porphyria (AIP),1
DB00477,chlorpromazine,C0033975,Psychotic Disorders,1
DB00477,chlorpromazine,C0236964,Attention Deficit And Disruptive Behavior Disorders,1
DB00477,chlorpromazine,C0027497,nausea,1
DB00477,chlorpromazine,C0042963,vomiting,1
DB00480,lenalidomide,C0026764,multiple myeloma,1
DB00480,lenalidomide,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",1
DB00480,lenalidomide,C0002871,anemia,1
DB00481,raloxifene,C0029458,"Osteoporosis, Postmenopausal",1
DB00481,raloxifene,C0006142,Malignant Neoplasm Of Breast,1
DB00481,raloxifene,C0029453,Osteopenia,1
DB00481,raloxifene,C0029456,osteoporosis,1
DB00482,celecoxib,C0013390,Dysmenorrhea,1
DB00482,celecoxib,C0003873,rheumatoid arthritis,1
DB00482,celecoxib,C0038013,ankylosing spondylitis,1
DB00482,celecoxib,C0029408,osteoarthritis,1
DB00482,celecoxib,C0032580,Adenomatous Polyposis Coli,1
DB00484,brimonidine,C0017612,"Glaucoma, Open-Angle",1
DB00484,brimonidine,C0028840,ocular hypertension,1
DB00484,brimonidine,C0017601,glaucoma,1
DB00491,miglitol,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",1
DB00491,miglitol,C0020456,hyperglycemia,1
DB00491,miglitol,C0011849,diabetes mellitus,1
DB00492,fosinopril,C0020538,Hypertensive disease,1
DB00492,fosinopril,C0730345,Microalbuminuria,1
DB00492,fosinopril,C0018802,congestive heart failure,1
DB00493,cefotaxime,C2242472,Infection of bone,1
DB00493,cefotaxime,C0031154,peritonitis,1
DB00493,cefotaxime,C0149725,Lower respiratory tract infection,1
DB00493,cefotaxime,C0025294,Meningococcal Meningitis,1
DB00493,cefotaxime,C0025289,meningitis,1
DB00493,cefotaxime,C0034186,pyelonephritis,1
DB00494,entacapone,C0030567,Parkinson's Disease,1
DB00494,entacapone,C0013384,Dyskinetic Syndrome,1
DB00496,darifenacin,C0085606,Urgency of micturition,1
DB00496,darifenacin,C0042023,Increased frequency of micturition,1
DB00496,darifenacin,C0878773,Overactive Bladder,1
DB00496,darifenacin,C0042024,urinary incontinence,1
DB00497,Oxycodone,C0034063,Pulmonary Edema,1
DB00499,flutamide,C0033578,Prostatic Neoplasms,1
DB00500,tolmetin,C0029408,osteoarthritis,1
DB00500,tolmetin,C0003873,rheumatoid arthritis,1
DB00501,cimetidine,C0013295,Duodenal Ulcer,1
DB00501,cimetidine,C0017168,gastroesophageal reflux disease (GERD),1
DB00501,cimetidine,C0043515,Zollinger-Ellison syndrome,1
DB00501,cimetidine,C0018834,heartburn,1
DB00501,cimetidine,C0221013,"Mastocytosis, Systemic",1
DB00501,cimetidine,C0027662,Multiple Endocrine Neoplasia,1
DB00501,cimetidine,C0038358,Gastric Ulcer,1
DB00501,cimetidine,C0041582,Ulcer,1
DB00501,cimetidine,C0030920,Peptic Ulcer,1
DB00501,cimetidine,C0014869,Peptic Esophagitis,1
DB00501,cimetidine,C0042109,urticaria,1
DB00502,haloperidol,C0221765,Chronic schizophrenia,1
DB00502,haloperidol,C0040517,Tourette's disorder,1
DB00502,haloperidol,C0036341,schizophrenia,1
DB00502,haloperidol,C0033975,Psychotic Disorders,1
DB00502,haloperidol,C0013384,Dyskinetic Syndrome,1
DB00503,Ritonavir,C0524910,"Hepatitis C, Chronic",1
DB00508,triflupromazine,C0033975,Psychotic Disorders,1
DB00508,triflupromazine,C0027497,nausea,1
DB00508,triflupromazine,C0042963,vomiting,1
DB00508,triflupromazine,C0027498,Nausea and vomiting,1
DB00509,Dextrothyroxine,C0020473,hyperlipidemia,1
DB00509,Dextrothyroxine,C0020443,hypercholesterolemia,1
DB00509,Dextrothyroxine,C0020476,Hyperlipoproteinemias,1
DB00514,dextromethorphan,C2607914,Allergic Rhinitis (Disorder),1
DB00514,dextromethorphan,C0010200,Coughing,1
DB00514,dextromethorphan,C0015967,fever,1
DB00514,dextromethorphan,C0027424,Nasal congestion (finding),1
DB00514,dextromethorphan,C0035455,Rhinitis,1
DB00515,cisplatin,C1140680,Malignant Neoplasm Of Ovary,1
DB00515,cisplatin,C1336708,Testicular Germ Cell Tumor,1
DB00515,cisplatin,C0005684,Malignant Neoplasm Of Urinary Bladder,1
DB00515,cisplatin,C0004114,astrocytoma,1
DB00515,cisplatin,C0005695,Bladder Neoplasm,1
DB00515,cisplatin,C1458155,Mammary Neoplasms,1
DB00515,cisplatin,C0262584,"Carcinoma, Small Cell",1
DB00515,cisplatin,C0014859,Esophageal Neoplasms,1
DB00515,cisplatin,C0019829,Hodgkin's lymphoma,1
DB00515,cisplatin,C0024305,non-Hodgkin lymphoma (NHL),1
DB00515,cisplatin,C0026764,multiple myeloma,1
DB00515,cisplatin,C0027819,neuroblastoma,1
DB00515,cisplatin,C0029463,osteosarcoma,1
DB00515,cisplatin,C0919267,Ovarian Neoplasm,1
DB00515,cisplatin,C0033578,Prostatic Neoplasms,1
DB00515,cisplatin,C0038356,Stomach Neoplasms,1
DB00515,cisplatin,C0039590,Testicular Neoplasms,1
DB00517,Anisotropine Methylbromide,C0038358,Gastric Ulcer,1
DB00517,Anisotropine Methylbromide,C0030920,Peptic Ulcer,1
DB00517,Anisotropine Methylbromide,C0041582,Ulcer,1
DB00519,trandolapril,C0020538,Hypertensive disease,1
DB00519,trandolapril,C0018802,congestive heart failure,1
DB00519,trandolapril,C0027051,Myocardial Infarction,1
DB00521,carteolol,C0017612,"Glaucoma, Open-Angle",1
DB00521,carteolol,C0020538,Hypertensive disease,1
DB00521,carteolol,C0028840,ocular hypertension,1
DB00521,carteolol,C0003811,Cardiac Arrhythmia,1
DB00521,carteolol,C0017601,glaucoma,1
DB00524,metolazone,C0020538,Hypertensive disease,1
DB00524,metolazone,C0013604,edema,1
DB00524,metolazone,C0018802,congestive heart failure,1
DB00524,metolazone,C0027726,nephrotic syndrome,1
DB00527,cinchocaine,C0033774,Pruritus,1
DB00528,lercanidipine,C0020538,Hypertensive disease,1
DB00528,lercanidipine,C0034734,Raynaud's disease,1
DB00530,erlotinib,C0007131,Non-Small Cell Lung Carcinoma,1
DB00530,erlotinib,C0281361,Adenocarcinoma Pancreas,1
DB00530,erlotinib,C0346647,Malignant Neoplasm Of Pancreas,1
DB00531,cyclophosphamide,C0024299,Lymphoma,1
DB00531,cyclophosphamide,C0026764,multiple myeloma,1
DB00531,cyclophosphamide,C0026948,Mycosis Fungoides,1
